Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
10,Zaccharie Risacher,SF,6-8,200,2005-04-08,ES ES,R,
15,Clint Capela,C,6-10,240,1994-05-18,CH CH,10,
11,Trae Young,PG,6-1,164,1998-09-19,US US,6,Oklahoma
1,Jalen Johnson,SF,6-9,220,2001-12-18,US US,3,Duke
5,Dyson Daniels,SG,6-8,199,2003-03-17,AU AU,2,
17,Onyeka Okongwu,C,6-8,235,2000-12-11,US US,4,USC
24,Garrison Mathews,SG,6-5,215,1996-10-24,US US,5,Lipscomb
8,David Roddy,PF,6-4,255,2001-03-27,US US,2,Colorado State
12,De'Andre Hunter,SF,6-8,225,1997-12-02,US US,5,Virginia
2,Keaton Wallace (TW),PG,6-3,195,1999-02-26,US US,R,Texas-San Antonio
13,Bogdan Bogdanović,SG,6-5,220,1992-08-18,RS RS,7,
22,Larry Nance Jr.,PF,6-8,245,1993-01-01,US US,9,Wyoming
4,Kobe Bufkin,SG,6-4,195,2003-09-21,US US,1,Michigan
27,Vit Krejci,PG,6-8,195,2000-06-19,CZ CZ,3,
18,Mouhamed Gueye,PF,6-11,210,2002-11-09,SN SN,1,Washington State
0,Dominick Barlow (TW),SF,6-9,221,2003-05-26,US US,2,
0,Seth Lundy (TW),SF,6-6,220,2000-04-02,US US,1,Penn State
0,Cody Zeller,C,6-11,240,1992-10-05,US US,11,Indiana
