Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
11,Payton Pritchard,PG,6-1,195,1998-01-28,US US,4,Oregon
0,Jayson Tatum,PF,6-8,210,1998-03-03,US US,7,Duke
9,Derrick White,SG,6-4,190,1994-07-02,US US,7,"Colorado-Colorado Springs, Colorado"
4,Jrue Holiday,PG,6-4,205,1990-06-12,US US,15,UCLA
30,Sam Hauser,PF,6-8,215,1997-12-08,US US,3,"Marquette, Virginia"
88,Neemias Queta,C,7-0,245,1999-07-13,PT PT,3,Utah State University
7,Jaylen Brown,SF,6-6,223,1996-10-24,US US,8,California
42,Al Horford,C,6-9,240,1986-06-03,DO DO,17,Florida
40,Luke Kornet,C,7-2,250,1995-07-15,US US,7,Vanderbilt
27,Jordan Walsh,PF,6-7,205,2004-03-03,US US,1,Arkansas
26,Xavier Tillman Sr.,C,6-8,245,1999-01-12,US US,4,Michigan State
44,Jaden Springer,SG,6-4,204,2002-09-25,US US,3,Tennessee
13,Drew Peterson (TW),PF,6-9,205,1999-11-09,US US,1,"Rice University, USC"
55,Baylor Scheierman,SG,6-6,205,2000-09-26,US US,R,"South Dakota State, Creighton"
8,Kristaps Porziņģis,C,7-2,240,1995-08-02,LV LV,8,
20,JD Davison (TW),PG,6-1,195,2002-10-03,US US,2,Alabama
0,Anton Watson (TW),SF,6-8,225,2000-10-06,US US,R,Gonzaga
