Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
2,Cameron Johnson,PF,6-8,210,1996-03-03,US US,5,"Pitt, UNC"
22,Jalen Wilson,PF,6-8,225,2000-11-04,US US,1,Kansas
17,Dennis Schröder,PG,6-1,172,1993-09-15,DE DE,11,
1,Ziaire Williams,SF,6-9,215,2001-09-12,US US,3,Stanford
45,Keon Johnson,SG,6-5,186,2002-03-10,US US,3,Tennessee
7,Shake Milton,SG,6-5,205,1996-09-26,US US,6,SMU
24,Cam Thomas,SG,6-4,210,2001-10-13,JP JP,3,LSU
33,Nic Claxton,C,6-11,215,1999-04-17,US US,5,Georgia
10,Ben Simmons,PG,6-10,240,1996-07-20,AU AU,6,LSU
28,Dorian Finney-Smith,PF,6-7,220,1993-05-04,US US,8,Florida
21,Noah Clowney,PF,6-10,210,2004-07-14,US US,1,Alabama
9,Trendon Watford,PF,6-9,240,2000-11-09,US US,3,LSU
13,Tyrese Martin (TW),SG,6-6,215,1999-03-07,US US,1,"Rhode Island, UConn"
8,Cui Yongxi (TW),SG,6-6,190,2003-05-28,CN CN,R,
0,Dariq Whitehead,SF,6-7,220,2004-08-01,US US,1,Duke
20,Day'Ron Sharpe,C,6-11,265,2001-11-06,US US,3,UNC
0,Bojan Bogdanović,SF,6-7,226,1989-04-18,BA BA,10,
