Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
9,Nikola Vučević,C,6-10,260,1990-10-24,CH CH,13,USC
3,Josh Giddey,PG,6-8,210,2002-10-10,AU AU,3,
11,Ayo Dosunmu,SG,6-5,200,2000-01-17,US US,3,Illinois
25,Dalen Terry,SG,6-7,195,2002-07-12,US US,2,Arizona
0,Coby White,SG,6-5,195,2000-02-16,US US,5,UNC
14,Matas Buzelis,SF,6-10,209,2004-10-13,US US,R,
15,Julian Phillips,SF,6-8,198,2003-11-05,US US,1,Tennessee
8,Zach LaVine,SF,6-5,200,1995-03-10,US US,10,UCLA
7,Jalen Smith,C,6-10,215,2000-03-16,US US,4,Maryland
22,Talen Horton-Tucker,SG,6-4,234,2000-11-25,US US,5,Iowa State
44,Patrick Williams,PF,6-7,215,2001-08-26,US US,4,Florida State
27,Chris Duarte,SG,6-6,190,1997-06-13,DO DO,3,Oregon
5,Jevon Carter,PG,6-1,200,1995-09-14,US US,6,West Virginia
13,Torrey Craig,SF,6-7,221,1990-12-19,US US,7,USC Upstate
2,Lonzo Ball,PG,6-6,190,1997-10-27,US US,5,UCLA
32,E.J. Liddell (TW),PF,6-7,240,2000-12-18,US US,1,Ohio State
21,Adama Sanogo (TW),C,6-9,245,2002-02-12,ML ML,1,UConn
0,DJ Steward (TW),SG,6-2,163,2001-10-02,US US,R,Duke
