Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
11,Cody Martin,SF,6-5,205,1995-09-28,US US,5,"NC State, Nevada"
14,Moussa Diabaté (TW),C,6-11,210,2002-01-21,FR FR,2,Michigan
30,Seth Curry,SG,6-1,185,1990-08-23,US US,10,"Liberty, Duke"
10,Josh Green,SG,6-5,200,2000-11-16,AU AU,4,Arizona
31,Tidjane Salaün,PF,6-9,207,2005-08-10,FR FR,R,
1,LaMelo Ball,PG,6-7,180,2001-08-22,US US,4,
24,Brandon Miller,SF,6-9,201,2002-11-22,US US,1,Alabama
2,Grant Williams,PF,6-6,236,1998-11-30,US US,5,Tennessee
23,Tre Mann,PG,6-3,178,2001-02-03,US US,3,Florida
0,Miles Bridges,PF,6-7,225,1998-03-21,US US,5,Michigan State
67,Taj Gibson,C,6-9,232,1985-06-24,US US,15,USC
22,Vasilije Micić,PG,6-5,200,1994-01-13,RS RS,1,
8,Nick Smith Jr.,SG,6-5,185,2004-04-18,US US,1,Arkansas
4,Nick Richards,C,7-0,245,1997-11-29,JM JM,4,Kentucky
25,KJ Simpson (TW),PG,6-0,189,2002-08-08,US US,R,Colorado
5,Mark Williams,C,7-0,241,2001-12-16,US US,2,Duke
0,DaQuan Jeffries,SG,6-5,230,1997-08-30,US US,5,"Oral Roberts, Tulsa"
0,Isaiah Wong (TW),SG,6-4,184,2001-01-28,US US,1,Miami (FL)
