Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
31,Jarrett Allen,C,6-11,243,1998-04-21,US US,7,Texas
20,Georges Niang,PF,6-7,230,1993-06-17,US US,8,Iowa State
45,Donovan Mitchell,SG,6-3,215,1996-09-07,US US,7,Louisville
10,Darius Garland,PG,6-1,192,2000-01-26,US US,5,Vanderbilt
4,Evan Mobley,PF,6-11,215,2001-06-18,US US,3,USC
2,Ty Jerome,SG,6-5,195,1997-07-08,US US,5,Virginia
35,Isaac Okoro,SG,6-5,225,2001-01-26,US US,4,Auburn
5,Sam Merrill,SG,6-4,205,1996-05-15,US US,4,Utah State University
3,Caris LeVert,SF,6-6,205,1994-08-25,US US,8,Michigan
9,Craig Porter Jr.,PG,6-2,186,2000-02-26,US US,1,"Vincennes University, Wichita State"
32,Dean Wade,PF,6-9,228,1996-11-20,US US,5,Kansas State
24,Jaylon Tyson,SG,6-6,215,2002-12-02,US US,R,"Texas, Texas Tech, California"
13,Tristan Thompson,PF,6-9,254,1991-03-13,CA CA,13,Texas
33,Luke Travers (TW),SG,6-8,199,2001-09-03,AU AU,R,
15,JT Thor (TW),PF,6-10,205,2002-08-26,US US,3,Auburn
0,Max Strus,SF,6-5,215,1996-03-28,US US,5,"Lewis (IL), DePaul"
0,Emoni Bates (TW),SF,6-10,170,2004-01-28,US US,1,"Memphis, Eastern Michigan"
