Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
21,Daniel Gafford,C,6-10,234,1998-10-01,US US,5,Arkansas
1,Jaden Hardy,SG,6-4,198,2002-07-05,US US,2,
11,Kyrie Irving,SG,6-2,195,1992-03-23,AU AU,13,Duke
13,Naji Marshall,SF,6-7,220,1998-01-24,US US,4,Xavier
5,Quentin Grimes,SG,6-5,205,2000-05-08,US US,3,"Kansas, Houston"
26,Spencer Dinwiddie,PG,6-5,215,1993-04-06,US US,10,Colorado
31,Klay Thompson,SF,6-5,215,1990-02-08,US US,11,Washington State
25,P.J. Washington,PF,6-7,230,1998-08-23,US US,5,Kentucky
2,Dereck Lively II,C,7-1,230,2004-02-12,US US,1,Duke
77,Luka Dončić,PG,6-6,230,1999-02-28,SI SI,6,
7,Dwight Powell,C,6-10,240,1991-07-20,CA CA,10,Stanford
42,Maxi Kleber,PF,6-10,240,1992-01-29,DE DE,7,
8,Olivier-Maxence Prosper,PF,6-8,230,2002-07-03,CA CA,1,"Clemson, Marquette"
0,Jazian Gortman (TW),PG,6-2,184,2003-04-14,US US,R,
10,Brandon Williams (TW),PG,6-1,190,1999-11-22,US US,2,Arizona
20,Kessler Edwards (TW),SF,6-8,215,2000-08-09,US US,3,Pepperdine
88,Markieff Morris,PF,6-9,245,1989-09-02,US US,13,Kansas
0,Dante Exum,PG,6-5,214,1995-07-13,AU AU,7,
