Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
1,Michael Porter Jr.,SF,6-10,218,1998-06-29,US US,5,Missouri
0,Christian Braun,SG,6-6,218,2001-04-17,US US,2,Kansas
4,Russell Westbrook,PG,6-4,200,1988-11-12,US US,16,UCLA
8,Peyton Watson,SF,6-8,200,2002-09-11,US US,2,UCLA
3,Julian Strawther,SG,6-7,205,2002-04-18,US US,1,Gonzaga
15,Nikola Jokić,C,6-11,284,1995-02-19,RS RS,9,
27,Jamal Murray,PG,6-4,215,1997-02-23,CA CA,7,Kentucky
22,Zeke Nnaji,PF,6-9,240,2001-01-09,US US,4,Arizona
5,Hunter Tyson,PF,6-8,215,2000-06-13,US US,1,Clemson
9,Dario Šarić,C,6-10,225,1994-04-08,HR HR,7,
32,Aaron Gordon,PF,6-8,235,1995-09-16,US US,10,Arizona
6,DeAndre Jordan,C,6-11,265,1988-07-21,US US,16,Texas A&M
23,Trey Alexander (TW),SG,6-4,185,2003-05-02,US US,R,Creighton
31,Vlatko Čančar,PF,6-8,236,1997-04-10,SI SI,4,
13,PJ Hall (TW),C,6-8,245,2002-02-21,US US,R,Clemson
24,Jalen Pickett,SG,6-4,209,1999-10-22,US US,1,"Siena College, Penn State"
21,Spencer Jones (TW),SF,6-7,225,2001-06-14,US US,R,Stanford
0,DaRon Holmes,PF,6-10,225,2002-08-15,US US,R,Dayton
