Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
5,Malik Beasley,SG,6-4,187,1996-11-26,US US,8,Florida State
28,Isaiah Stewart,C,6-8,250,2001-05-22,US US,4,Washington
0,Ron Holland,SF,6-8,206,2005-07-07,US US,R,
23,Jaden Ivey,SG,6-4,195,2002-02-13,US US,2,Purdue
12,Tobias Harris,PF,6-8,226,1992-07-15,US US,13,Tennessee
0,Jalen Duren,C,6-10,250,2003-11-18,US US,2,Memphis
19,Simone Fontecchio,SF,6-8,209,1995-12-09,IT IT,2,
8,Tim Hardaway Jr.,SG,6-5,205,1992-03-16,US US,11,Michigan
2,Cade Cunningham,PG,6-6,220,2001-09-25,US US,3,Oklahoma State
25,Marcus Sasser,PG,6-2,195,2000-09-21,US US,1,Houston
7,Paul Reed,C,6-9,210,1999-06-14,US US,4,DePaul
14,Wendell Moore Jr.,SG,6-5,213,2001-09-18,US US,2,Duke
9,Ausar Thompson,SF,6-7,215,2003-01-30,US US,1,
24,Daniss Jenkins (TW),PG,6-3,165,2001-08-17,US US,R,"University of the Pacific, Iona College, St. John's"
13,Cole Swider (TW),SF,6-9,220,1999-05-08,US US,2,"Villanova, Syracuse"
31,Alondes Williams (TW),SG,6-4,210,1999-06-19,US US,2,"Triton College, Oklahoma, Wake Forest"
0,Bobi Klintman,SF,6-9,225,2003-03-06,SE SE,R,Wake Forest
