Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
7,Buddy Hield,SG,6-4,220,1992-12-17,BS BS,8,Oklahoma
4,Moses Moody,SG,6-5,205,2002-05-31,US US,3,Arkansas
32,Trayce Jackson-Davis,C,6-9,245,2000-02-22,US US,1,Indiana
0,Gary Payton II,SG,6-2,190,1992-12-01,US US,8,Oregon State
23,Draymond Green,PF,6-6,230,1990-03-04,US US,12,Michigan State
2,Brandin Podziemski,SG,6-5,205,2003-02-25,US US,1,"Illinois, Santa Clara"
1,Kyle Anderson,PF,6-9,230,1993-09-20,US US,10,UCLA
22,Andrew Wiggins,SF,6-7,197,1995-02-23,CA CA,10,Kansas
0,Jonathan Kuminga,PF,6-8,210,2002-10-06,CD CD,3,
5,Kevon Looney,C,6-9,222,1996-02-06,US US,9,UCLA
43,Lindy Waters III,SG,6-6,215,1997-07-28,US US,3,Oklahoma State
30,Stephen Curry,PG,6-2,185,1988-03-14,US US,15,Davidson
8,De'Anthony Melton,SG,6-2,200,1998-05-28,US US,6,USC
15,Gui Santos,PF,6-8,209,2002-06-22,BR BR,1,
3,Reece Beekman (TW),PG,6-1,190,2001-10-08,US US,R,Virginia
0,Quinten Post (TW),PF,7-0,238,2000-03-21,NL NL,R,"Mississippi State, Boston College"
