Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
4,Jalen Green,SG,6-4,178,2002-02-09,US US,3,
28,Alperen Sengun,C,6-11,235,2002-07-25,TR TR,3,
9,Dillon Brooks,SF,6-6,225,1996-01-22,CA CA,7,Oregon
10,Jabari Smith Jr.,PF,6-11,220,2003-05-13,US US,2,Auburn
1,Amen Thompson,SF,6-7,209,2003-01-30,US US,1,
17,Tari Eason,PF,6-8,216,2001-05-10,US US,2,"Cincinnati, LSU"
15,Reed Sheppard,PG,6-2,185,2004-06-24,US US,R,Kentucky
5,Fred VanVleet,PG,6-0,197,1994-02-25,US US,8,Wichita State
2,Jock Landale,C,6-11,256,1995-10-25,AU AU,3,Saint Mary's
0,Aaron Holiday,PG,6-0,185,1996-09-30,US US,6,UCLA
12,Steven Adams,C,6-11,265,1993-07-20,NZ NZ,10,Pitt
8,Jae'Sean Tate,SF,6-4,230,1995-10-28,US US,4,Ohio State
7,Cam Whitmore,SF,6-7,232,2004-07-08,US US,1,Villanova
32,Jeff Green,PF,6-8,235,1986-08-28,US US,16,Georgetown
58,Jack McVeigh (TW),PF,6-8,215,1996-06-27,AU AU,R,Nebraska
19,Jeenathan Williams (TW),SG,6-5,205,1999-02-12,US US,2,Buffalo
0,N'Faly Dante (TW),C,6-11,230,2001-10-19,ML ML,R,Oregon
