Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
43,Pascal Siakam,PF,6-8,230,1994-04-02,CM CM,8,New Mexico State
0,Bennedict Mathurin,SG,6-6,210,2002-06-19,CA CA,2,Arizona
0,Tyrese Haliburton,PG,6-5,185,2000-02-29,US US,4,Iowa State
5,Jarace Walker,PF,6-8,240,2003-09-04,US US,1,Houston
9,T.J. McConnell,PG,6-1,190,1992-03-25,US US,9,"Duquesne, Arizona"
1,Obi Toppin,PF,6-9,220,1998-03-04,US US,4,Dayton
33,Myles Turner,C,6-11,250,1996-03-24,US US,9,Texas
29,Quenton Jackson (TW),PG,6-5,175,1998-09-15,US US,2,Texas A&M
8,Enrique Freeman (TW),PF,6-7,206,2000-07-29,US US,R,University of Akron
26,Ben Sheppard,SG,6-6,190,2001-07-16,US US,1,Belmont
12,Johnny Furphy,SG,6-8,200,2004-12-08,AU AU,R,Kansas
2,Andrew Nembhard,SG,6-5,193,2000-01-16,CA CA,2,"Florida, Gonzaga"
3,Moses Brown,C,7-2,245,1999-10-13,US US,5,UCLA
23,Aaron Nesmith,SF,6-5,215,1999-10-16,US US,4,Vanderbilt
22,Isaiah Jackson,C,6-10,206,2002-01-10,US US,3,Kentucky
4,Tristen Newton (TW),SG,6-5,190,2001-04-26,US US,R,"East Carolina University, UConn"
16,James Johnson,PF,6-7,240,1987-02-20,US US,15,Wake Forest
13,James Wiseman,C,7-0,240,2001-03-31,US US,3,Memphis
