Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
1,James Harden,PG,6-5,220,1989-08-26,US US,15,Arizona State
40,Ivica Zubac,C,7-0,240,1997-03-18,BA BA,8,
55,Derrick Jones Jr.,SF,6-5,210,1997-02-15,US US,8,UNLV
7,Amir Coffey,SG,6-7,210,1997-06-17,US US,5,Minnesota
8,Kris Dunn,PG,6-3,205,1994-03-18,US US,8,Providence
33,Nicolas Batum,PF,6-8,230,1988-12-14,FR FR,16,
14,Terance Mann,SG,6-5,215,1996-10-18,US US,5,Florida State
77,Kevin Porter Jr.,SG,6-4,203,2000-05-04,US US,4,USC
24,Norman Powell,SG,6-3,215,1993-05-25,US US,9,UCLA
23,Kai Jones (TW),C,6-11,218,2001-01-19,BS BS,2,Texas
4,Mo Bamba,C,7-0,231,1998-05-12,US US,6,Texas
5,Bones Hyland,PG,6-2,173,2000-09-14,US US,3,VCU
21,Kobe Brown,PF,6-7,250,2000-01-01,US US,1,Missouri
9,Trentyn Flowers (TW),SF,6-7,185,2005-03-08,US US,R,
12,Cam Christie,SG,6-5,190,2005-07-24,US US,R,Minnesota
0,Kawhi Leonard,SF,6-7,225,1991-06-29,US US,12,San Diego State
0,P.J. Tucker,SF,6-5,245,1985-05-05,US US,13,Texas
