Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
23,LeBron James,SF,6-9,250,1984-12-30,US US,21,
4,Dalton Knecht,SF,6-6,215,2001-04-19,US US,R,"Northeastern Junior College, University of Northern Colorado, Tennessee"
7,Gabe Vincent,PG,6-3,195,1996-06-14,US US,5,UC Santa Barbara
3,Anthony Davis,C,6-10,253,1993-03-11,US US,12,Kentucky
1,D'Angelo Russell,PG,6-3,193,1996-02-23,US US,9,Ohio State
12,Max Christie,SG,6-6,190,2003-02-10,US US,2,Michigan State
15,Austin Reaves,SG,6-5,206,1998-05-29,US US,3,"Wichita State, Oklahoma"
28,Rui Hachimura,PF,6-8,230,1998-02-08,JP JP,5,Gonzaga
5,Cam Reddish,SF,6-8,218,1999-09-01,US US,5,Duke
10,Christian Koloko (TW),C,7-1,230,2000-06-20,CM CM,1,Arizona
11,Jaxson Hayes,C,7-0,220,2000-05-23,US US,5,Texas
94,Armel Traoré (TW),SF,6-8,215,2003-01-23,FR FR,R,
9,Bronny James,SG,6-2,210,2004-10-06,US US,R,USC
20,Maxwell Lewis,SF,6-7,195,2002-07-27,US US,1,Pepperdine
0,Jalen Hood-Schifino,SG,6-6,215,2003-06-19,US US,1,Indiana
0,Jarred Vanderbilt,PF,6-8,214,1999-04-03,US US,6,Kentucky
0,Christian Wood,C,6-8,214,1995-09-27,US US,8,UNLV
0,Quincy Olivari (TW),PG,6-3,198,2001-05-27,US US,R,"Rice University, Xavier"
