Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
7,Santi Aldama,PF,6-11,224,2001-01-10,ES ES,3,Loyola (MD)
0,Jaylen Wells,SG,6-7,206,2003-08-26,US US,R,"Sonoma State University, Washington State"
1,Scotty Pippen Jr.,PG,6-1,185,2000-11-10,US US,2,Vanderbilt
30,Jay Huff,C,7-1,240,1998-08-25,US US,3,Virginia
3,Jake LaRavia,PF,6-8,235,2001-11-03,US US,2,"Indiana State University, Wake Forest"
15,Brandon Clarke,PF,6-8,215,1996-09-19,CA CA,5,"San Jose State, Gonzaga"
13,Jaren Jackson Jr.,C,6-10,242,1999-09-15,US US,6,Michigan State
22,Desmond Bane,SG,6-5,215,1998-06-25,US US,4,TCU
14,Zach Edey,C,7-4,305,2002-05-14,CA CA,R,Purdue
10,Luke Kennard,SG,6-5,206,1996-06-24,US US,7,Duke
12,Ja Morant,PG,6-2,174,1999-08-10,US US,5,Murray State
36,Marcus Smart,PG,6-3,220,1994-03-06,US US,10,Oklahoma State
17,Yuki Kawamura (TW),PG,5-8,159,2001-05-02,JP JP,R,
46,John Konchar,SG,6-5,210,1996-03-22,US US,5,Purdue-Fort Wayne
8,Colin Castleton (TW),C,6-11,250,2000-05-25,US US,1,"Michigan, Florida"
5,Vince Williams Jr.,SG,6-4,205,2000-08-30,US US,2,VCU
24,Cam Spencer (TW),SG,6-3,205,2000-04-06,US US,R,"Loyola (MD), Rutgers University, UConn"
0,GG Jackson II,PF,6-9,215,2004-12-17,US US,1,South Carolina
