Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
14,Tyler Herro,SG,6-5,195,2000-01-20,US US,5,Kentucky
13,Bam Adebayo,C,6-9,255,1997-07-18,US US,7,Kentucky
55,Duncan Robinson,SF,6-7,215,1994-04-22,US US,6,"Williams, Michigan"
2,Terry Rozier,PG,6-1,190,1994-03-17,US US,9,Louisville
24,Haywood Highsmith,SF,6-7,220,1996-12-09,US US,4,Wheeling University
11,Jaime Jaquez Jr.,SF,6-6,225,2001-02-18,US US,1,UCLA
22,Jimmy Butler,PF,6-7,230,1989-09-14,US US,13,"Tyler Junior College, Marquette"
9,Pelle Larsson,SG,6-5,215,2001-02-23,SE SE,R,"Utah, Arizona"
5,Nikola Jović,PF,6-10,209,2003-06-09,GB GB,2,
18,Alec Burks,SG,6-6,214,1991-07-20,US US,13,Colorado
42,Kevin Love,PF,6-8,251,1988-09-07,US US,16,UCLA
7,Kel'el Ware,C,7-0,230,2004-04-20,US US,R,"Oregon, Indiana"
31,Thomas Bryant,C,6-10,248,1997-07-31,US US,7,Indiana
0,Josh Richardson,SG,6-5,200,1993-09-15,US US,9,Tennessee
12,Dru Smith (TW),SG,6-3,203,1997-12-30,US US,2,"University of Evansville, Missouri"
16,Keshad Johnson (TW),SF,6-6,225,2001-06-23,US US,R,"San Diego State, Arizona"
0,Josh Christopher (TW),SG,6-5,215,2001-12-08,US US,2,Arizona State
