Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
11,Brook Lopez,C,7-1,282,1988-04-01,US US,16,Stanford
12,Taurean Prince,SF,6-6,218,1994-03-22,US US,8,Baylor
9,Bobby Portis,PF,6-10,250,1995-02-10,US US,9,Arkansas
20,A.J. Green,SG,6-4,200,1999-09-27,US US,2,University of Northern Iowa
44,Andre Jackson Jr.,SG,6-6,210,2001-11-13,US US,1,UConn
34,Giannis Antetokounmpo,PF,6-11,242,1994-12-06,GR GR,11,
5,Gary Trent Jr.,SG,6-5,209,1999-01-18,US US,6,Duke
0,Damian Lillard,PG,6-2,195,1990-07-15,US US,12,Weber State
55,Delon Wright,PG,6-5,185,1992-04-26,US US,9,Utah
24,Pat Connaughton,SG,6-5,209,1993-01-06,US US,9,Notre Dame
3,MarJon Beauchamp,SF,6-6,199,2000-10-12,US US,2,Yakima Valley Community College
21,Tyler Smith,PF,6-11,224,2004-11-02,US US,R,
17,Stanley Umude (TW),SG,6-6,210,1999-04-12,US US,2,"South Dakota, Arkansas"
77,AJ Johnson,SG,6-4,160,2004-12-01,US US,R,
15,Liam Robbins (TW),C,7-0,250,1999-07-12,US US,R,"Drake University, Minnesota, Vanderbilt"
7,Chris Livingston,SF,6-6,220,2003-10-15,US US,1,Kentucky
0,Khris Middleton,SF,6-7,222,1991-08-12,US US,12,Texas A&M
