Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
5,Anthony Edwards,SG,6-4,225,2001-08-05,US US,4,Georgia
30,Julius Randle,PF,6-9,250,1994-11-29,US US,10,Kentucky
11,Naz Reid,C,6-9,264,1999-08-26,US US,5,LSU
27,Rudy Gobert,C,7-1,258,1992-06-26,FR FR,11,
3,Jaden McDaniels,PF,6-9,185,2000-09-29,US US,4,Washington
9,Nickeil Alexander-Walker,SG,6-5,205,1998-09-02,CA CA,5,Virginia Tech
0,Donte DiVincenzo,SG,6-4,203,1997-01-31,US US,6,Villanova
10,Mike Conley,PG,6-0,175,1987-10-11,US US,17,Ohio State
4,Rob Dillingham,PG,6-1,176,2005-01-04,US US,R,Kentucky
8,Josh Minott,SF,6-8,205,2002-11-25,US US,2,Memphis
7,Joe Ingles,SF,6-8,220,1987-10-02,AU AU,10,
55,Luka Garza,C,6-10,235,1998-12-27,US US,3,Iowa
0,Terrence Shannon Jr.,SG,6-6,215,2000-07-30,US US,R,"Texas Tech, Illinois"
35,PJ Dozier,SG,6-6,205,1996-10-25,US US,6,South Carolina
1,Daishen Nix (TW),PG,6-5,224,2002-02-13,US US,3,
0,Leonard Miller,SF,6-10,210,2003-11-26,CA CA,1,
0,Jesse Edwards (TW),C,6-11,230,2000-03-18,NL NL,R,"West Virginia, Syracuse"
