Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
50,Jeremiah Robinson-Earl,PF,6-9,230,2000-11-03,US US,3,Villanova
4,Javonte Green,SG,6-4,205,1993-07-23,US US,5,Radford
21,Yves Missi,C,6-11,235,2004-05-14,BE BE,R,Baylor
11,Brandon Boston Jr. (TW),SG,6-7,185,2001-11-28,US US,3,Kentucky
10,Daniel Theis,C,6-8,245,1992-04-04,DE DE,7,
14,Brandon Ingram,SF,6-8,190,1997-09-02,US US,8,Duke
8,Jamal Cain (TW),SF,6-7,191,1999-03-20,US US,2,"Marquette, Oakland"
55,Trey Jemison (TW),C,6-11,260,1999-11-28,US US,1,"Clemson, UAB"
12,Antonio Reeves,SG,6-5,205,2000-11-20,US US,R,"Illinois State, Kentucky"
24,Jordan Hawkins,SG,6-5,195,2002-04-29,US US,1,UConn
15,Jose Alvarado,PG,6-0,179,1998-04-12,US US,3,Georgia Tech
3,CJ McCollum,PG,6-3,190,1991-09-19,US US,11,Lehigh
25,Trey Murphy III,SF,6-8,206,2000-06-18,US US,3,"Rice University, Virginia"
1,Zion Williamson,PF,6-6,284,2000-07-06,US US,4,Duke
5,Dejounte Murray,PG,6-5,180,1996-09-19,US US,7,Washington
17,Karlo Matković,PF,6-11,231,2001-03-30,BA BA,R,
2,Herbert Jones,SF,6-8,210,1998-10-06,US US,3,Alabama
