Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
11,Jalen Brunson,PG,6-2,190,1996-08-31,US US,6,Villanova
8,OG Anunoby,PF,6-7,232,1997-07-17,GB GB,7,Indiana
25,Mikal Bridges,SF,6-6,209,1996-08-30,US US,6,Villanova
3,Josh Hart,SG,6-4,215,1995-03-06,US US,7,Villanova
20,Jericho Sims,C,6-10,245,1998-10-20,US US,3,Texas
32,Karl-Anthony Towns,C,7-0,248,1995-11-15,US US,9,Kentucky
1,Cameron Payne,PG,6-3,183,1994-08-08,US US,9,Murray State
2,Miles McBride,PG,6-2,200,2000-09-08,US US,3,West Virginia
13,Tyler Kolek,PG,6-1,195,2001-03-27,US US,R,"George Mason, Marquette"
4,Pacome Dadiet,SG,6-7,210,2005-07-27,FR FR,R,
55,Ariel Hukporti,C,7-0,246,2002-04-11,DE DE,R,
37,Matt Ryan,SF,6-6,215,1997-04-17,US US,3,"Notre Dame, Vanderbilt, Chattanooga"
0,Jacob Toppin (TW),SF,6-9,205,2000-05-08,US US,1,"Rhode Island, Kentucky"
0,Mitchell Robinson,C,7-0,240,1998-04-01,US US,6,Western Kentucky
0,Precious Achiuwa,PF,6-8,225,1999-09-19,NG NG,4,Memphis
0,Kevin McCullar Jr. (TW),SF,6-6,210,2001-03-15,US US,R,"Texas Tech, Kansas"
0,Boo Buie (TW),G,6-2,180,1999-12-07,US US,R,Northwestern
