Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
2,Shai Gilgeous-Alexander,PG,6-6,200,1998-07-12,CA CA,6,Kentucky
8,Jalen Williams,SG,6-6,220,2001-04-14,US US,2,Santa Clara
5,Luguentz Dort,SF,6-4,220,1999-04-19,CA CA,5,Arizona State
21,Aaron Wiggins,SG,6-6,200,1999-01-02,US US,3,Maryland
22,Cason Wallace,SG,6-4,205,2003-11-07,US US,1,Kentucky
25,Ajay Mitchell (TW),SG,6-5,200,2002-06-25,BE BE,R,UC Santa Barbara
3,Dillon Jones,SF,6-5,240,2001-10-29,US US,R,Weber State
11,Isaiah Joe,SG,6-5,181,1999-07-02,US US,4,Arkansas
13,Ousmane Dieng,PF,6-10,222,2003-05-21,FR FR,2,
9,Alex Caruso,SG,6-5,186,1994-02-28,US US,7,Texas A&M
34,Kenrich Williams,PF,6-7,210,1994-12-02,US US,6,TCU
7,Chet Holmgren,C,7-1,213,2002-05-01,US US,1,Gonzaga
55,Isaiah Hartenstein,C,7-0,255,1998-05-05,US US,6,
88,Alex Ducas (TW),SG,6-6,222,2000-12-11,AU AU,R,Saint Mary's University
15,Branden Carlson,C,7-0,220,1999-06-14,US US,R,Utah
0,Nikola Topić,PG,6-6,201,2005-08-10,RS RS,R,
0,Jaylin Williams,PF,6-8,250,2002-06-29,US US,2,Arkansas
