Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
20,Jared McCain,SG,6-2,195,2004-02-20,US US,R,Duke
9,Kelly Oubre Jr.,SF,6-8,203,1995-12-09,US US,9,Kansas
28,Guerschon Yabusele,PF,6-8,260,1995-12-17,FR FR,2,
16,Caleb Martin,SF,6-5,205,1995-09-28,US US,5,"NC State, Nevada"
5,Andre Drummond,C,6-11,279,1993-08-10,US US,12,UConn
1,KJ Martin,PF,6-6,215,2001-01-06,US US,4,
14,Ricky Council IV,SF,6-6,205,2001-08-03,US US,1,"Wichita State, Arkansas"
23,Eric Gordon,SG,6-3,215,1988-12-25,US US,16,Indiana
0,Tyrese Maxey,PG,6-2,200,2000-11-04,US US,4,Kentucky
7,Kyle Lowry,PG,6-0,196,1986-03-25,US US,18,Villanova
30,Adem Bona,C,6-10,235,2003-03-28,NG NG,R,UCLA
8,Paul George,PF,6-8,220,1990-05-02,US US,14,Fresno State
0,Reggie Jackson,PG,6-2,208,1990-04-16,IT IT,13,Boston College
11,Jeff Dowtin (TW),PG,6-3,185,1997-05-10,US US,3,Rhode Island
21,Joel Embiid,C,7-0,280,1994-03-16,CM CM,8,Kansas
19,Justin Edwards (TW),SF,6-6,203,2003-12-16,US US,R,Kentucky
0,Pete Nance (TW),PF,6-11,230,2000-02-19,US US,1,"Northwestern, UNC"
