Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
1,Devin Booker,SG,6-6,206,1996-10-30,US US,9,Kentucky
21,Tyus Jones,PG,6-1,196,1996-05-10,US US,9,Duke
0,Royce O'Neale,SF,6-4,226,1993-06-05,US US,7,"Denver, Baylor"
0,Ryan Dunn,SF,6-6,216,2003-01-07,US US,R,Virginia
22,Mason Plumlee,C,6-10,254,1990-03-05,US US,11,Duke
8,Grayson Allen,SG,6-4,198,1995-10-08,US US,6,Duke
20,Jusuf Nurkić,C,7-0,290,1994-08-23,BA BA,10,
23,Monte Morris,PG,6-2,183,1995-06-27,US US,7,Iowa State
4,Oso Ighodaro,PF,6-10,235,2002-07-02,US US,R,Marquette
35,Kevin Durant,PF,6-11,240,1988-09-29,US US,16,Texas
3,Bradley Beal,SG,6-4,207,1993-06-28,US US,12,Florida
2,Josh Okogie,SG,6-4,213,1998-09-01,NG NG,6,Georgia Tech
11,Bol Bol (TW),PF,7-3,220,1999-11-16,SD SD,5,Oregon
10,Damion Lee,SG,6-5,210,1992-10-21,US US,6,"Drexel, Louisville"
14,TyTy Washington Jr. (TW),PG,6-3,197,2001-11-15,US US,2,Kentucky
15,Jalen Bridges (TW),SF,6-8,225,2001-05-14,US US,R,"West Virginia, Baylor"
12,Collin Gillespie (TW),PG,6-1,195,1999-06-25,US US,1,Villanova
