Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
8,Deni Avdija,SF,6-9,210,2001-01-03,IL IL,4,
33,Toumani Camara,PF,6-8,220,2000-05-08,BE BE,1,Dayton
9,Jerami Grant,PF,6-7,210,1994-03-12,US US,10,Syracuse
5,Dalano Banton,PG,6-9,204,1999-11-07,CA CA,3,Nebraska
1,Anfernee Simons,SG,6-3,181,1999-06-08,US US,6,
24,Kris Murray,SF,6-8,220,2000-08-19,US US,1,Iowa
21,Rayan Rupert,SG,6-6,205,2004-05-31,FR FR,1,
23,Donovan Clingan,C,7-2,280,2004-02-23,US US,R,UConn
34,Jabari Walker,SF,6-9,215,2002-07-30,US US,2,Colorado
0,Scoot Henderson,PG,6-3,202,2004-02-03,US US,1,
2,Deandre Ayton,C,7-0,250,1998-07-23,BS BS,6,Arizona
17,Shaedon Sharpe,SG,6-6,200,2003-05-30,CA CA,2,Kentucky
26,Duop Reath,C,6-11,245,1996-06-26,SS SS,1,"Lee College, LSU"
35,Robert Williams,C,6-9,237,1997-10-17,US US,6,Texas A&M
76,Taze Moore (TW),SG,6-5,195,1998-06-29,US US,1,"Cal State-Bakersfield, Houston"
10,Justin Minaya (TW),SF,6-5,210,1999-03-26,US US,2,
0,Bryce McGowens (TW),SG,6-7,179,2002-11-08,US US,2,Nebraska
0,Matisse Thybulle,SG,6-5,201,1997-03-04,US US,5,Washington
