Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
5,De'Aaron Fox,PG,6-3,185,1997-12-20,US US,7,Kentucky
13,Keegan Murray,PF,6-8,215,2000-08-19,US US,2,Iowa
11,Domantas Sabonis,C,6-10,240,1996-05-03,US US,8,Gonzaga
23,Keon Ellis,SG,6-6,175,2000-01-08,US US,2,"Florida SouthWestern State College, Alabama"
9,Kevin Huerter,SG,6-7,190,1998-08-27,US US,6,Maryland
41,Trey Lyles,PF,6-9,234,1995-11-05,CA CA,9,Kentucky
10,DeMar DeRozan,SF,6-6,220,1989-08-07,US US,15,USC
7,Doug McDermott,SF,6-6,225,1992-01-03,US US,10,Creighton
3,Jordan McLaughlin,PG,6-0,185,1996-04-09,US US,5,USC
25,Alex Len,C,7-0,250,1993-06-16,UA UA,11,Maryland
0,Malik Monk,SG,6-3,200,1998-02-04,US US,7,Kentucky
20,Colby Jones,SG,6-6,205,2002-05-28,US US,1,Xavier
17,Isaac Jones (TW),PF,6-8,245,2000-07-11,US US,R,"Wenatchee Valley College, Idaho, Washington State"
99,Jae Crowder,SF,6-6,235,1990-07-06,US US,12,Marquette
77,Orlando Robinson,C,7-0,235,2000-07-10,US US,2,Fresno State
0,Devin Carter,PG,6-2,195,2002-03-18,US US,R,"South Carolina, Providence"
0,Isaiah Crawford (TW),SF,6-6,220,2001-11-01,US US,R,Louisiana Tech
