Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
30,Julian Champagnie,SF,6-8,220,2001-06-29,US US,2,St. John's
5,Stephon Castle,PG,6-6,215,2004-11-01,US US,R,UConn
40,Harrison Barnes,PF,6-8,225,1992-05-30,US US,12,UNC
3,Chris Paul,PG,6-0,175,1985-05-06,US US,19,Wake Forest
23,Zach Collins,C,6-11,250,1997-11-19,US US,6,Gonzaga
0,Keldon Johnson,SF,6-5,220,1999-10-11,US US,5,Kentucky
1,Victor Wembanyama,C,7-3,209,2004-01-04,FR FR,1,
14,Blake Wesley,SG,6-5,185,2003-03-16,US US,2,Notre Dame
22,Malaki Branham,SG,6-4,180,2003-05-12,US US,2,Ohio State
54,Sandro Mamukelashvili,PF,6-11,240,1999-05-23,US US,3,Seton Hall
28,Charles Bassey,C,6-10,235,2000-10-28,NG NG,3,Western Kentucky
10,Jeremy Sochan,PF,6-8,230,2003-05-20,US US,2,Baylor
33,Tre Jones,PG,6-1,185,2000-01-08,US US,4,Duke
25,Sidy Cissoko,SF,6-8,200,2004-04-02,FR FR,1,
24,Devin Vassell,SG,6-5,200,2000-08-23,US US,4,Florida State
7,David Duke Jr. (TW),SG,6-5,205,1999-10-13,US US,3,Providence
27,Riley Minix (TW),SF,6-7,230,2000-09-22,US US,R,"Southeastern University, Morehead State University"
55,Harrison Ingram (TW),SF,6-5,230,2002-11-27,US US,R,"Stanford, UNC"
