Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
19,Jakob Poeltl,C,7-0,245,1995-10-15,AT AT,8,Utah
30,Ochai Agbaji,SG,6-5,215,2000-04-20,US US,2,Kansas
25,Chris Boucher,PF,6-9,200,1993-01-11,LC LC,7,"New Mexico Junior College, Northwest College, Oregon"
45,Davion Mitchell,PG,6-2,205,1998-09-05,US US,3,"Auburn, Baylor"
2,Jonathan Mogbo,PF,6-9,225,2001-10-29,US US,R,"Missouri State, San Francisco"
23,Jamal Shead,PG,6-0,200,2002-06-24,US US,R,Houston
77,Jamison Battle (TW),SF,6-7,220,2001-05-10,US US,R,"George Washington, Minnesota, Ohio State"
9,RJ Barrett,SG,6-6,214,2000-06-14,CA CA,5,Duke
1,Gradey Dick,SG,6-6,205,2003-11-20,US US,1,Kansas
24,Bruno Fernando,C,6-9,240,1998-08-15,AO AO,5,Maryland
4,Scottie Barnes,PF,6-7,227,2001-08-01,US US,3,Florida State
14,Ja'Kobe Walter,SG,6-5,180,2004-09-04,US US,R,Baylor
17,Garrett Temple,SG,6-5,195,1986-05-08,US US,14,LSU
3,D.J. Carton (TW),SG,6-2,200,2000-08-05,US US,1,"Ohio State, Marquette"
5,Immanuel Quickley,PG,6-3,190,1999-06-17,US US,4,Kentucky
22,Ulrich Chomche (TW),PF,6-10,235,2005-12-30,CM CM,R,
0,Kelly Olynyk,C,6-11,240,1991-04-19,CA CA,11,Gonzaga
0,Bruce Brown,PG,6-4,202,1996-08-15,US US,6,Miami (FL)
