Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
2,Collin Sexton,SG,6-3,190,1999-01-04,US US,6,Alabama
20,John Collins,PF,6-9,235,1997-09-23,US US,7,Wake Forest
3,Keyonte George,PG,6-4,185,2003-11-08,US US,1,Baylor
15,Drew Eubanks,C,6-9,245,1997-02-01,US US,6,Oregon State
23,Lauri Markkanen,PF,7-0,240,1997-05-22,FI FI,7,Arizona
33,Johnny Juzang,SG,6-7,215,2001-03-17,US US,2,"Kentucky, UCLA"
5,Cody Williams,SG,6-7,190,2004-11-20,US US,R,Colorado
24,Walker Kessler,C,7-0,245,2001-07-26,US US,2,"UNC, Auburn"
28,Brice Sensabaugh,SF,6-6,235,2003-10-30,US US,1,Ohio State
22,Kyle Filipowski,C,6-11,250,2003-11-07,US US,R,Duke
13,Isaiah Collier,PG,6-3,210,2004-10-08,US US,R,USC
0,Jordan Clarkson,SG,6-3,194,1992-06-07,US US,10,"Tulsa, Missouri"
8,Patty Mills,PG,6-2,180,1988-08-11,AU AU,15,Saint Mary's
19,Svi Mykhailiuk,SF,6-7,205,1997-06-10,UA UA,6,Kansas
25,Micah Potter (TW),C,6-10,248,1998-04-06,US US,3,"Ohio State, Wisconsin"
0,Taylor Hendricks,PF,6-9,210,2003-11-22,US US,1,Central Florida
34,Oscar Tshiebwe (TW),PF,6-9,260,1999-11-27,CD CD,1,"West Virginia, Kentucky"
0,David Jones (TW),SF,6-6,210,2001-11-24,DO DO,R,"DePaul, St. John's, Memphis"
