Numéro,Joueur,Poste,Taille (ft),Poids (lbs),Date de naissance,Nationalité,Expérience,Université
17,Jonas Valančiūnas,C,6-11,265,1992-05-06,LT LT,12,
24,Corey Kispert,SF,6-7,220,1999-03-03,US US,3,Gonzaga
20,Alex Sarr,C,7-0,205,2005-04-26,FR FR,R,
8,Carlton Carrington,PG,6-4,190,2005-07-21,US US,R,Pitt
18,Kyshawn George,SG,6-7,200,2003-12-12,CH CH,R,Miami (FL)
0,Bilal Coulibaly,SF,6-6,195,2004-07-26,FR FR,1,
13,Jordan Poole,SG,6-4,194,1999-06-19,US US,5,Michigan
4,Jared Butler (TW),SG,6-3,195,2000-08-25,US US,3,Baylor
1,Johnny Davis,SG,6-5,196,2002-02-27,US US,2,Wisconsin
16,Anthony Gill,PF,6-7,230,1992-10-17,US US,4,"South Carolina, Virginia"
35,Marvin Bagley III,C,6-10,235,1999-03-14,US US,6,Duke
33,Kyle Kuzma,PF,6-9,221,1995-07-24,US US,7,Utah
7,Patrick Baldwin Jr.,SF,6-9,220,2002-11-18,US US,2,UW-Milwaukee
15,Malcolm Brogdon,PG,6-4,229,1992-12-11,US US,8,Virginia
22,Richaun Holmes,PF,6-10,235,1993-10-15,US US,9,Bowling Green
0,Saddiq Bey,SF,6-7,215,1999-04-09,US US,4,Villanova
0,Tristan Vukcevic (TW),C,6-10,223,2003-03-11,IT IT,1,
