Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Jalen Johnson,23,SF,22,1.6,0.36,6.4,0.569,2.4,0.757,9.9,5.5,20.1
2,Trae Young,26,PG,22,2.5,0.306,3.8,0.464,5.5,0.891,3.9,12.0,20.7
3,Dyson Daniels,21,SG,21,1.2,0.294,4.5,0.511,1.0,0.667,5.0,3.1,13.6
4,De'Andre Hunter,27,SF,12,2.4,0.408,3.7,0.55,4.1,0.907,4.2,1.3,18.7
5,Bogdan Bogdanović,32,SG,9,2.2,0.339,1.7,0.484,1.6,1.0,3.4,2.2,11.6
6,Zaccharie Risacher,19,SF,23,1.3,0.29,2.9,0.508,1.8,0.683,3.6,1.3,11.7
7,Onyeka Okongwu,24,C,21,0.4,0.211,3.9,0.636,2.2,0.807,6.5,1.6,11.1
8,Clint Capela,30,C,23,0.0,,4.7,0.585,1.2,0.563,9.5,1.3,10.5
9,Garrison Mathews,28,SG,18,2.1,0.468,0.3,0.375,1.3,0.828,1.1,1.4,8.2
10,Keaton Wallace,25,PG,12,0.7,0.308,1.2,0.483,0.3,1.0,1.5,1.8,4.7
11,Larry Nance Jr.,32,PF,9,1.6,0.636,1.6,0.667,0.1,0.5,2.4,1.2,7.9
12,David Roddy,23,PF,13,0.8,0.435,1.3,0.708,0.8,0.846,3.0,1.5,5.8
13,Kobe Bufkin,21,SG,9,0.4,0.222,1.3,0.462,1.4,0.722,2.1,1.9,5.4
14,Vit Krejci,24,PG,9,0.4,0.364,0.6,0.455,0.4,0.571,1.1,1.1,2.9
15,Dominick Barlow,21,SF,2,0.0,,0.0,0.0,0.5,0.5,0.0,0.0,0.5
16,Mouhamed Gueye,22,PF,2,0.0,0.0,0.5,0.5,0.0,,1.0,0.0,1.0
0,Team Totals,0,,23,1.2,0.342,3.1,0.542,1.9,0.788,4.7,3.0,11.8
