Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Jayson Tatum,26,PF,21,4.0,0.374,5.2,0.542,6.2,0.802,8.6,5.6,28.4
2,Jaylen Brown,28,SF,17,2.6,0.333,5.9,0.495,5.5,0.764,6.4,4.6,25.2
3,Derrick White,30,SG,21,3.8,0.41,2.5,0.591,1.8,0.841,4.8,4.9,18.1
4,Jrue Holiday,34,PG,19,1.7,0.333,2.5,0.578,1.6,0.909,4.2,3.9,11.7
5,Payton Pritchard,27,PG,22,3.8,0.428,1.8,0.69,1.6,0.875,3.2,3.0,16.5
6,Al Horford,38,C,17,2.3,0.424,1.2,0.618,0.4,1.0,5.1,2.4,9.7
7,Kristaps Porziņģis,29,C,4,2.3,0.36,4.8,0.594,4.8,0.826,7.8,1.8,21.0
8,Sam Hauser,27,PF,18,2.2,0.364,0.9,0.773,0.1,1.0,3.5,1.1,8.5
9,Neemias Queta,25,C,18,0.0,0.0,2.7,0.658,0.9,0.773,5.3,0.8,6.3
10,Luke Kornet,29,C,17,0.0,,1.8,0.638,1.0,0.895,4.4,1.6,4.5
11,Drew Peterson,25,PF,6,0.7,0.364,0.0,0.0,0.5,0.75,2.2,0.3,2.5
12,Xavier Tillman Sr.,26,C,15,0.2,0.2,0.3,0.333,0.1,0.5,2.1,0.4,1.2
13,Jordan Walsh,20,PF,16,0.3,0.25,0.2,0.5,0.0,0.0,1.1,0.2,1.3
14,Baylor Scheierman,24,SG,5,0.0,0.0,0.2,0.25,0.4,1.0,1.4,0.4,0.8
15,JD Davison,22,PG,4,0.0,0.0,0.3,0.5,0.3,0.5,0.5,0.3,0.8
16,Jaden Springer,22,PG,7,0.0,0.0,0.3,0.4,0.3,0.5,0.9,0.4,0.9
0,Team Totals,0,,22,1.9,0.376,2.2,0.569,1.7,0.81,4.3,2.5,11.7
