Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Dennis Schröder,31,PG,21,2.4,0.375,3.7,0.481,3.2,0.895,3.0,6.3,17.9
2,Cam Thomas,23,SG,17,2.9,0.389,5.2,0.515,5.7,0.866,3.2,3.4,24.7
3,Cameron Johnson,28,PF,22,3.3,0.431,2.9,0.563,2.9,0.901,4.3,2.9,18.5
4,Dorian Finney-Smith,31,PF,15,2.3,0.422,1.5,0.564,0.7,0.611,4.3,1.8,10.7
5,Jalen Wilson,24,PF,22,1.3,0.354,1.7,0.559,1.6,0.875,3.6,1.6,9.0
6,Nic Claxton,25,C,17,0.1,0.5,4.0,0.654,0.9,0.421,7.6,2.2,9.1
7,Ben Simmons,28,PG,17,0.0,,2.6,0.608,0.2,0.5,5.8,6.7,5.5
8,Ziaire Williams,23,SF,21,0.9,0.273,2.2,0.495,1.7,0.795,4.4,1.1,8.6
9,Trendon Watford,24,PF,10,0.7,0.28,2.5,0.51,2.5,0.833,3.3,1.3,9.6
10,Keon Johnson,22,SG,21,1.1,0.295,1.0,0.457,0.4,0.727,3.0,1.1,5.7
11,Noah Clowney,20,PF,15,1.5,0.377,0.9,0.424,1.0,0.714,3.1,0.7,7.5
12,Day'Ron Sharpe,23,C,2,0.5,0.5,1.0,0.333,2.0,1.0,4.0,1.5,5.5
13,Shake Milton,28,SG,19,0.9,0.415,1.3,0.521,0.6,0.706,1.5,2.2,5.9
14,Tyrese Martin,25,SG,9,1.9,0.515,0.6,0.455,0.4,0.8,2.2,1.1,7.2
15,Dariq Whitehead,20,SF,3,2.0,0.6,0.0,0.0,0.0,,1.0,0.3,6.0
16,Cui Yongxi,21,SG,5,0.0,0.0,0.2,0.25,0.2,0.5,0.4,0.0,0.6
17,Jaylen Martin,21,SF,2,0.5,1.0,0.0,,0.0,,0.0,0.0,1.5
0,Team Totals,0,,23,1.5,0.382,2.3,0.53,1.7,0.803,3.7,2.5,10.6
