Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Zach LaVine,29,SF,19,3.2,0.429,4.8,0.583,2.7,0.825,4.3,4.1,21.8
2,Coby White,24,SG,21,3.3,0.379,2.8,0.527,2.9,0.871,3.7,4.5,18.3
3,Nikola Vučević,34,C,22,2.2,0.476,6.1,0.634,2.0,0.843,10.0,3.2,20.9
4,Ayo Dosunmu,25,SG,22,1.1,0.276,3.6,0.62,1.5,0.786,3.6,4.2,12.0
5,Patrick Williams,23,PF,15,1.9,0.394,1.5,0.355,1.4,0.84,5.0,2.3,9.9
6,Josh Giddey,22,PG,22,1.2,0.338,3.3,0.503,1.8,0.696,6.3,6.9,12.1
7,Lonzo Ball,27,PG,6,1.2,0.318,0.5,0.75,0.0,,2.5,3.5,4.5
8,Jalen Smith,24,C,19,1.2,0.365,1.5,0.56,1.1,0.75,5.2,0.7,7.7
9,Julian Phillips,21,SF,21,0.7,0.286,0.9,0.594,0.6,0.619,2.2,0.5,4.4
10,Dalen Terry,22,SG,22,0.4,0.364,1.0,0.535,1.0,0.778,1.4,1.0,4.1
11,Matas Buzelis,20,SF,21,0.8,0.362,0.9,0.452,0.7,0.789,2.3,0.2,5.0
12,Torrey Craig,34,SF,6,1.2,0.389,0.7,1.0,0.3,1.0,2.2,0.5,5.2
13,Talen Horton-Tucker,24,SG,16,1.0,0.516,1.6,0.595,1.3,0.741,1.9,1.5,7.4
14,E.J. Liddell,24,PF,6,0.5,0.5,0.3,1.0,0.3,1.0,0.8,0.5,2.5
15,Jevon Carter,29,PG,10,0.4,0.267,0.3,0.429,0.0,,0.7,0.6,1.8
16,Adama Sanogo,22,C,3,0.0,,1.0,0.6,0.0,,0.7,0.3,2.0
17,Chris Duarte,27,SG,11,0.5,0.455,0.4,0.667,0.5,0.75,1.3,0.4,2.6
0,Team Totals,0,,22,1.4,0.381,2.3,0.563,1.3,0.791,3.7,2.4,10.0
