Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Brandon Miller,22,SF,17,4.0,0.368,3.5,0.451,2.4,0.889,5.2,3.5,21.4
2,LaMelo Ball,23,PG,18,4.7,0.356,6.1,0.512,4.9,0.848,5.4,6.9,31.1
3,Miles Bridges,26,PF,11,2.2,0.348,3.5,0.494,2.5,0.848,6.5,3.0,16.0
4,Grant Williams,26,PF,16,1.7,0.365,1.7,0.551,1.9,0.838,5.1,2.3,10.4
5,Nick Richards,27,C,7,0.0,0.0,4.3,0.652,4.1,0.69,10.0,1.7,12.7
6,Josh Green,24,SG,19,1.5,0.483,1.1,0.385,0.4,0.615,2.5,1.6,7.1
7,Cody Martin,29,SF,21,1.3,0.36,2.0,0.539,1.0,0.656,4.7,2.4,8.8
8,Tre Mann,23,PG,13,1.8,0.4,3.5,0.455,1.5,0.905,2.9,3.0,14.1
9,Moussa Diabaté,23,PF,21,0.0,,1.4,0.545,0.2,0.333,8.0,0.8,3.1
10,Tidjane Salaün,19,PF,19,1.1,0.294,0.6,0.375,0.6,0.706,4.2,1.0,5.1
11,Vasilije Micić,31,PG,10,0.9,0.321,1.1,0.297,0.6,0.75,2.9,2.2,5.5
12,KJ Simpson,22,PG,5,0.6,0.2,1.4,0.538,1.2,1.0,2.4,2.6,5.8
13,Seth Curry,34,SG,20,0.8,0.405,0.8,0.471,0.4,0.778,1.3,0.4,4.2
14,Taj Gibson,39,C,11,0.1,0.5,1.2,0.481,0.2,0.667,3.6,0.4,2.8
15,Mark Williams,23,C,1,0.0,,1.0,0.25,2.0,1.0,3.0,0.0,4.0
16,Nick Smith Jr.,20,SG,10,0.6,0.375,0.6,0.429,0.0,,0.6,0.8,3.0
17,Jared Rhoden,25,SG,4,0.0,0.0,0.5,0.333,0.0,,1.0,0.5,1.0
0,Team Totals,0,,21,1.5,0.363,2.1,0.484,1.4,0.786,4.3,2.2,10.1
