Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Donovan Mitchell,28,SG,21,3.7,0.402,5.0,0.505,3.3,0.812,4.9,4.1,24.3
2,Evan Mobley,23,PF,21,0.6,0.317,6.2,0.585,3.4,0.818,9.3,2.8,17.8
3,Darius Garland,25,PG,21,3.0,0.45,4.3,0.529,2.8,0.951,2.4,6.7,20.3
4,Jarrett Allen,26,C,22,0.0,0.0,5.7,0.708,2.6,0.731,10.3,1.6,14.0
5,Caris LeVert,30,SG,16,1.6,0.441,2.5,0.58,1.6,0.703,2.9,4.0,11.5
6,Dean Wade,28,PF,14,1.3,0.321,0.4,0.6,0.4,0.357,4.3,1.5,5.1
7,Isaac Okoro,24,SG,20,1.2,0.462,1.0,0.5,0.6,0.647,2.5,1.8,6.2
8,Georges Niang,31,PF,22,1.7,0.349,1.6,0.648,0.3,0.778,3.6,1.2,8.5
9,Sam Merrill,28,SG,18,1.9,0.362,0.4,0.667,0.4,0.875,1.7,1.8,6.9
10,Ty Jerome,27,SG,21,1.6,0.5,2.7,0.62,1.6,0.895,2.0,3.6,11.8
11,Craig Porter Jr.,24,PG,16,0.3,0.455,0.8,0.65,0.2,0.6,0.9,1.4,2.8
12,Jaylon Tyson,22,SG,12,0.3,0.3,0.8,0.563,0.3,0.5,2.0,0.9,2.5
13,Luke Travers,23,SG,5,0.0,0.0,0.6,0.75,0.4,1.0,1.2,1.0,1.6
14,Tristan Thompson,33,PF,8,0.0,0.0,1.6,0.722,0.0,0.0,2.1,0.5,3.3
15,JT Thor,22,PF,2,1.0,1.0,1.5,1.0,1.0,1.0,1.0,0.0,7.0
0,Team Totals,0,,22,1.4,0.402,2.8,0.59,1.5,0.781,4.0,2.6,11.2
