Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Luka Dončić,25,PG,16,3.4,0.342,6.9,0.537,5.3,0.75,7.9,7.8,29.1
2,Kyrie Irving,32,SG,20,3.1,0.452,5.9,0.518,3.1,0.886,4.9,5.4,24.1
3,P.J. Washington,26,PF,17,1.5,0.385,3.4,0.514,1.7,0.725,8.6,2.6,12.8
4,Klay Thompson,34,SF,18,2.8,0.36,1.7,0.413,0.9,0.944,3.5,1.9,12.7
5,Naji Marshall,27,SF,20,0.8,0.294,3.9,0.65,1.5,0.882,3.4,2.4,11.6
6,Dereck Lively II,20,C,17,0.0,,3.8,0.707,1.6,0.6,7.4,2.4,9.2
7,Daniel Gafford,26,C,21,0.0,,5.3,0.732,2.0,0.695,6.6,1.3,12.6
8,Spencer Dinwiddie,31,PG,20,1.3,0.366,1.1,0.457,1.8,0.857,1.6,3.2,7.8
9,Quentin Grimes,24,SG,20,1.6,0.431,1.5,0.577,1.2,0.667,3.6,1.5,8.9
10,Maxi Kleber,33,PF,13,0.2,0.222,0.5,0.412,0.3,0.667,3.2,0.5,1.8
11,Jaden Hardy,22,SG,21,0.8,0.286,1.5,0.437,1.0,0.875,1.4,1.3,6.2
12,Dwight Powell,33,C,16,0.0,,0.5,0.8,0.9,0.7,1.9,0.6,1.9
13,Olivier-Maxence Prosper,22,PF,12,0.0,0.0,0.6,0.412,0.2,0.667,1.3,0.1,1.3
14,Markieff Morris,35,PF,2,0.0,0.0,0.5,0.25,0.0,,2.0,1.0,1.0
15,Brandon Williams,25,PG,5,0.0,0.0,0.4,0.286,0.4,0.667,0.8,0.4,1.2
16,Jazian Gortman,21,PG,5,0.4,0.667,0.2,0.5,0.0,,0.2,0.0,1.6
17,Kessler Edwards,24,SF,4,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
0,Team Totals,0,,22,1.1,0.367,2.7,0.561,1.6,0.768,4.0,2.3,10.5
