Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Nikola Jokić,29,C,16,2.3,0.522,9.1,0.575,5.3,0.816,13.0,10.4,30.1
2,Jamal Murray,27,PG,16,2.0,0.333,4.3,0.476,3.1,0.803,4.0,6.3,17.7
3,Michael Porter Jr.,26,SF,19,2.5,0.407,4.8,0.582,1.5,0.651,7.2,2.7,18.7
4,Christian Braun,23,SG,19,1.2,0.46,4.5,0.623,2.9,0.778,5.1,1.9,15.6
5,Aaron Gordon,29,PF,9,1.8,0.571,3.2,0.527,3.0,0.818,6.3,3.4,14.8
6,Peyton Watson,22,SF,19,0.9,0.37,2.7,0.548,1.7,0.8,3.4,1.3,9.7
7,Russell Westbrook,36,PG,19,1.4,0.361,2.5,0.4,2.6,0.671,3.9,6.0,11.7
8,Julian Strawther,22,SG,19,1.4,0.4,1.6,0.492,1.4,0.794,2.1,1.4,8.7
9,Dario Šarić,30,C,10,0.5,0.263,0.7,0.333,0.5,0.833,3.5,1.1,3.4
10,DeAndre Jordan,36,C,8,0.0,,1.3,0.556,0.1,0.25,3.3,0.5,2.6
11,Hunter Tyson,24,PF,12,0.3,0.231,0.6,0.7,0.5,0.857,1.7,0.5,2.4
12,Vlatko Čančar,27,PF,4,0.3,0.5,0.8,0.6,0.0,,2.0,0.0,2.3
13,Zeke Nnaji,24,PF,13,0.0,0.0,0.6,0.667,0.1,0.25,0.5,0.2,1.3
14,Trey Alexander,21,SG,8,0.1,0.167,0.1,0.25,0.3,1.0,0.1,0.3,0.9
15,PJ Hall,22,C,4,0.0,0.0,0.3,1.0,0.0,,0.0,0.0,0.5
16,Spencer Jones,23,SF,2,0.0,0.0,0.0,,0.0,,0.5,0.0,0.0
17,Jalen Pickett,25,SG,2,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
0,Team Totals,0,,19,1.2,0.393,2.9,0.537,1.8,0.761,4.2,2.9,11.3
