Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Cade Cunningham,23,PG,20,2.4,0.378,6.6,0.487,3.4,0.779,7.2,9.1,23.7
2,Tobias Harris,32,PF,23,1.6,0.346,3.8,0.509,1.9,0.827,6.8,2.4,14.1
3,Jaden Ivey,22,SG,23,1.9,0.381,4.4,0.486,3.3,0.735,4.2,4.3,17.7
4,Malik Beasley,28,SG,24,3.5,0.399,2.0,0.505,1.0,0.719,3.0,1.9,15.7
5,Tim Hardaway Jr.,32,SG,21,1.9,0.358,1.3,0.5,1.6,0.892,1.9,1.6,9.7
6,Jalen Duren,21,C,22,0.0,,3.5,0.681,1.7,0.576,9.2,2.5,8.7
7,Isaiah Stewart,23,C,24,0.2,0.25,2.2,0.624,1.2,0.879,6.2,1.9,6.3
8,Simone Fontecchio,29,SF,22,1.2,0.333,0.9,0.526,1.0,0.786,3.1,0.8,6.4
9,Ron Holland,19,SF,24,0.4,0.18,1.8,0.573,0.9,0.786,3.0,0.7,5.6
10,Ausar Thompson,22,SF,5,0.6,0.333,1.8,0.45,0.6,0.429,3.0,2.8,6.0
11,Wendell Moore Jr.,23,SG,11,0.3,0.333,1.5,0.615,1.0,0.917,3.3,1.1,4.7
12,Marcus Sasser,24,PG,16,0.8,0.406,1.8,0.636,0.4,1.0,1.1,1.5,6.3
13,Paul Reed,25,PF,11,0.4,0.444,1.4,0.625,1.1,0.8,2.1,0.5,4.9
14,Cole Swider,25,SF,2,0.0,0.0,0.0,,0.0,,1.0,0.5,0.0
15,Alondes Williams,25,SG,1,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,5.0
16,Daniss Jenkins,23,PG,2,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
0,Team Totals,0,,24,1.3,0.358,2.6,0.536,1.5,0.762,4.3,2.4,10.5
