Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Stephen Curry,36,PG,16,4.2,0.419,3.3,0.515,3.4,0.947,5.6,6.6,22.6
2,Andrew Wiggins,29,SF,18,2.2,0.417,3.6,0.489,3.3,0.776,4.3,2.4,17.2
3,Draymond Green,34,PF,19,1.5,0.403,1.4,0.473,1.5,0.604,6.2,6.0,8.8
4,Brandin Podziemski,21,SG,19,0.7,0.206,2.4,0.535,0.9,0.75,4.6,3.5,8.0
5,Buddy Hield,32,SG,20,3.4,0.438,1.9,0.493,1.1,0.917,3.5,1.5,14.9
6,Jonathan Kuminga,22,PF,18,1.1,0.297,4.2,0.497,2.3,0.592,4.2,1.8,13.8
7,De'Anthony Melton,26,SG,6,2.2,0.371,1.5,0.474,0.8,0.625,3.3,2.8,10.3
8,Lindy Waters III,27,SG,17,1.3,0.355,0.9,0.536,0.2,0.8,2.5,1.3,5.9
9,Trayce Jackson-Davis,24,C,20,0.0,0.0,3.6,0.607,0.8,0.571,5.2,2.1,7.9
10,Moses Moody,22,SG,20,1.4,0.384,1.4,0.519,1.1,0.759,2.0,1.0,8.0
11,Kevon Looney,28,C,18,0.0,,2.3,0.532,0.9,0.459,7.8,1.6,5.5
12,Kyle Anderson,31,SF,19,0.5,0.273,1.5,0.468,0.6,0.611,3.3,2.6,5.1
13,Gary Payton II,32,PG,20,0.2,0.211,1.9,0.731,0.3,0.625,2.2,1.2,4.7
14,Pat Spencer,28,PG,5,0.0,,0.8,0.444,0.4,1.0,1.0,1.4,2.0
15,Gui Santos,22,PF,6,0.2,0.333,0.2,0.5,0.2,0.5,1.0,0.3,1.0
16,Reece Beekman,23,PG,2,0.0,,0.5,1.0,0.0,,0.5,0.5,1.0
0,Team Totals,0,,20,1.3,0.373,2.2,0.526,1.3,0.703,4.0,2.5,9.6
