Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Fred VanVleet,30,PG,21,2.4,0.323,3.2,0.476,2.3,0.831,4.2,5.9,16.1
2,Jalen Green,22,SG,22,2.6,0.331,3.9,0.47,3.7,0.862,4.8,2.7,19.3
3,Alperen Sengun,22,C,22,0.4,0.273,6.9,0.495,4.0,0.763,10.7,5.3,19.0
4,Dillon Brooks,29,SF,22,2.0,0.388,2.5,0.444,1.2,0.844,3.6,1.5,12.4
5,Jabari Smith Jr.,21,PF,22,1.7,0.352,2.5,0.524,1.8,0.867,6.8,0.8,11.7
6,Amen Thompson,22,SF,22,0.3,0.273,3.9,0.593,2.7,0.698,6.9,2.0,11.4
7,Tari Eason,23,SF,22,0.9,0.303,3.5,0.557,1.5,0.767,6.5,1.1,11.3
8,Reed Sheppard,20,SG,22,0.7,0.333,0.8,0.415,0.1,1.0,1.0,1.4,3.8
9,Jock Landale,29,C,14,0.2,0.5,1.3,0.439,0.7,0.526,3.3,1.0,3.9
10,Steven Adams,31,C,11,0.0,,0.7,0.5,0.7,0.444,2.9,1.0,2.2
11,Cam Whitmore,20,SF,8,0.1,0.048,2.1,0.63,1.3,0.625,1.4,0.5,5.9
12,Aaron Holiday,28,PG,12,0.9,0.44,0.4,0.625,0.4,0.714,0.9,1.2,4.0
13,Jeff Green,38,PF,7,0.4,0.375,0.6,0.8,0.0,,0.6,0.1,2.4
14,Jae'Sean Tate,29,SF,9,0.0,0.0,0.8,0.636,0.4,0.571,2.0,0.4,2.0
15,Jack McVeigh,28,PF,6,0.3,0.25,0.2,0.333,0.0,,0.7,0.2,1.3
16,Jeenathan Williams,25,SG,3,0.3,0.5,0.7,1.0,0.0,,1.0,0.0,2.3
0,Team Totals,0,,22,1.1,0.331,2.7,0.507,1.7,0.766,4.5,2.0,10.3
