Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Tyrese Haliburton,24,PG,23,2.9,0.333,3.1,0.538,2.8,0.855,3.4,8.4,17.6
2,Pascal Siakam,30,PF,23,1.8,0.41,6.0,0.582,2.8,0.78,6.3,3.7,20.1
3,Bennedict Mathurin,22,SG,23,1.6,0.402,4.3,0.51,4.6,0.847,6.5,1.8,18.0
4,Myles Turner,28,C,21,2.0,0.398,3.6,0.532,2.2,0.723,7.4,1.6,15.5
5,Andrew Nembhard,25,SG,9,0.6,0.263,2.4,0.449,1.3,0.857,1.8,4.6,7.9
6,Aaron Nesmith,25,SF,6,1.0,0.545,2.2,0.52,1.8,0.846,4.0,1.0,9.2
7,Ben Sheppard,23,SG,13,1.5,0.404,0.7,0.474,0.0,,2.2,1.3,5.8
8,Obi Toppin,26,PF,22,1.0,0.306,2.9,0.719,0.9,0.87,3.7,1.6,9.7
9,T.J. McConnell,32,PG,22,0.1,0.25,4.7,0.575,0.8,0.739,2.6,3.9,10.4
10,Jarace Walker,21,PF,23,0.9,0.37,0.9,0.435,0.8,0.613,3.5,1.5,5.2
11,Quenton Jackson,26,PG,14,0.6,0.391,2.1,0.58,0.9,0.706,1.9,2.0,6.9
12,Isaiah Jackson,23,C,5,0.0,,2.8,0.609,1.4,0.5,5.6,1.0,7.0
13,Johnny Furphy,20,SG,13,0.7,0.391,0.5,0.375,0.4,1.0,1.5,0.4,3.4
14,Enrique Freeman,24,PF,14,0.1,0.2,0.4,0.5,0.4,0.556,0.8,0.4,1.4
15,Moses Brown,25,C,9,0.0,,1.4,0.65,0.3,0.6,1.4,0.0,3.2
16,James Wiseman,23,C,1,0.0,0.0,2.0,0.667,2.0,1.0,1.0,0.0,6.0
17,James Johnson,37,PF,3,0.0,0.0,0.7,0.667,0.0,,0.7,0.7,1.3
18,Tristen Newton,23,SG,5,0.0,0.0,0.2,0.333,0.2,1.0,0.0,0.2,0.6
0,Team Totals,0,,23,1.1,0.366,2.8,0.554,1.6,0.784,3.7,2.5,10.5
