Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,James Harden,35,PG,24,2.8,0.338,3.3,0.421,6.5,0.896,6.8,8.5,21.6
2,Norman Powell,31,SG,17,4.0,0.507,4.3,0.503,3.4,0.838,2.9,2.4,23.9
3,Ivica Zubac,27,C,24,0.0,,6.5,0.602,1.5,0.522,12.2,2.4,14.5
4,Derrick Jones Jr.,27,SF,24,1.3,0.417,2.8,0.545,1.1,0.871,3.5,1.0,10.4
5,Amir Coffey,27,SG,24,1.7,0.43,1.9,0.548,1.4,0.846,2.6,1.3,10.2
6,Kris Dunn,30,PG,24,1.0,0.329,1.7,0.547,0.2,0.5,3.9,2.6,6.5
7,Terance Mann,28,SG,23,0.7,0.34,1.7,0.494,0.7,0.667,3.1,1.7,6.3
8,Kevin Porter Jr.,24,SG,21,0.4,0.184,3.2,0.496,1.0,0.629,3.5,2.8,8.8
9,Cam Christie,19,SG,1,1.0,0.25,1.0,0.333,0.0,,3.0,0.0,5.0
10,Nicolas Batum,36,PF,24,1.0,0.371,0.3,0.412,0.3,0.75,2.7,1.5,3.7
11,Jordan Miller,25,SF,13,0.4,0.263,2.5,0.541,1.3,0.773,2.2,1.2,7.5
12,Trentyn Flowers,19,SF,1,0.0,0.0,4.0,0.571,1.0,1.0,4.0,0.0,9.0
13,Mo Bamba,26,C,10,0.5,0.25,1.4,0.609,0.6,0.667,3.9,0.8,4.9
14,Kai Jones,24,C,15,0.0,,0.9,0.722,0.5,0.7,2.0,0.3,2.2
15,Bones Hyland,24,PG,9,1.4,0.419,0.3,0.2,1.1,0.833,1.1,0.7,6.1
16,Kobe Brown,25,PF,7,0.1,0.167,1.1,0.571,0.1,0.5,2.3,0.6,2.9
0,Team Totals,0,,24,1.2,0.373,2.5,0.522,1.5,0.778,4.1,2.3,10.0
