Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Anthony Davis,31,C,21,0.7,0.349,8.9,0.553,6.9,0.78,11.3,3.4,26.9
2,LeBron James,40,SF,22,1.9,0.342,6.6,0.559,3.4,0.758,7.9,9.0,22.3
3,Austin Reaves,26,SG,19,2.6,0.355,3.2,0.55,2.5,0.774,3.5,4.8,16.7
4,Rui Hachimura,26,PF,17,1.5,0.433,2.9,0.495,1.6,0.844,5.2,1.7,12.1
5,D'Angelo Russell,28,PG,21,1.9,0.325,2.6,0.524,1.6,0.872,2.5,4.8,12.4
6,Dalton Knecht,23,SF,22,2.2,0.403,1.9,0.583,0.8,0.773,3.4,1.1,11.1
7,Cam Reddish,25,SF,15,0.6,0.45,0.6,0.529,0.5,0.667,2.3,0.6,3.5
8,Max Christie,21,SG,21,0.5,0.268,1.3,0.54,1.5,0.865,2.1,1.2,5.7
9,Gabe Vincent,28,PG,22,0.6,0.236,0.8,0.515,0.2,0.5,1.1,0.7,3.5
10,Jaxson Hayes,24,C,11,0.0,,2.4,0.722,1.6,0.783,4.5,0.8,6.4
11,Christian Koloko,24,C,13,0.0,0.0,1.0,0.765,0.2,1.0,1.9,0.2,2.2
12,Armel Traoré,22,SF,6,0.0,0.0,0.7,0.5,0.3,0.286,2.0,0.0,1.7
13,Jalen Hood-Schifino,21,SG,2,0.0,,0.5,1.0,1.0,1.0,0.5,0.5,2.0
14,Maxwell Lewis,22,SF,6,0.0,,0.3,0.333,0.0,,0.3,0.3,0.7
15,Bronny James,20,SG,6,0.0,0.0,0.2,0.5,0.3,1.0,0.2,0.3,0.7
0,Team Totals,0,,22,1.1,0.345,2.9,0.554,1.9,0.78,4.0,2.6,10.9
