Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Jaren Jackson Jr.,25,C,20,1.8,0.336,6.1,0.605,4.6,0.827,6.0,1.3,22.1
2,Desmond Bane,26,SG,15,1.8,0.31,3.6,0.524,1.7,0.781,6.1,3.9,14.3
3,Ja Morant,25,PG,12,1.3,0.294,6.2,0.532,5.9,0.845,4.1,8.6,22.0
4,Santi Aldama,24,PF,22,1.5,0.34,4.0,0.635,0.8,0.783,7.5,3.4,13.1
5,Jaylen Wells,21,SG,22,2.0,0.389,2.5,0.535,1.2,0.771,3.4,1.9,12.1
6,Scotty Pippen Jr.,24,PG,22,1.1,0.364,3.2,0.538,1.6,0.75,3.8,5.4,11.3
7,Jake LaRavia,23,PF,22,0.9,0.396,2.2,0.565,1.6,0.692,4.6,3.8,8.6
8,Marcus Smart,30,PG,12,1.4,0.298,1.4,0.459,2.1,0.862,2.4,4.4,9.2
9,Zach Edey,22,C,14,0.4,0.6,4.1,0.611,1.6,0.667,6.9,0.8,11.1
10,Luke Kennard,28,SG,14,1.5,0.404,0.7,0.5,0.8,0.786,2.4,2.9,6.7
11,Brandon Clarke,28,PF,21,0.0,0.063,3.0,0.674,0.6,0.632,4.7,0.9,6.8
12,Jay Huff,26,C,22,1.6,0.429,1.5,0.708,1.1,0.727,2.4,0.8,9.1
13,Vince Williams Jr.,24,SG,3,0.3,0.125,2.0,0.545,0.3,0.25,3.7,3.0,5.3
14,John Konchar,28,SG,11,0.5,0.375,0.2,1.0,0.3,0.75,2.6,0.8,2.3
15,Cam Spencer,24,SG,2,0.0,0.0,0.5,1.0,0.0,,1.0,1.0,1.0
16,Yuki Kawamura,23,PG,12,0.1,0.111,0.2,0.5,0.3,0.75,0.2,0.6,0.8
17,Colin Castleton,24,C,6,0.0,0.0,0.0,,0.7,1.0,0.8,0.0,0.7
0,Team Totals,0,,22,1.1,0.349,2.8,0.581,1.6,0.775,4.1,2.7,10.6
