Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Bam Adebayo,27,C,20,0.9,0.327,5.0,0.455,2.9,0.722,9.9,5.0,15.6
2,Tyler Herro,25,SG,20,4.3,0.42,4.0,0.534,3.3,0.857,5.2,4.9,24.1
3,Jimmy Butler,35,PF,15,0.5,0.364,5.6,0.575,5.9,0.781,5.4,4.8,18.7
4,Terry Rozier,30,PG,18,2.1,0.363,2.4,0.462,1.7,0.886,3.5,3.2,12.7
5,Haywood Highsmith,28,SF,18,1.3,0.426,1.4,0.591,0.5,0.692,2.9,1.2,7.2
6,Duncan Robinson,30,SF,19,2.4,0.36,1.3,0.462,0.5,0.769,2.3,2.2,10.2
7,Jaime Jaquez Jr.,23,SF,16,0.6,0.313,2.8,0.469,1.8,0.69,5.6,2.4,9.3
8,Josh Richardson,31,SG,8,0.8,0.273,0.6,0.313,0.5,1.0,1.5,1.5,4.0
9,Nikola Jović,21,PF,14,1.0,0.318,1.8,0.581,1.1,0.8,3.7,1.3,7.7
10,Pelle Larsson,23,SG,15,0.7,0.379,1.5,0.676,0.7,0.55,2.0,1.5,6.0
11,Alec Burks,33,SG,12,1.3,0.469,0.5,0.429,0.5,0.75,1.9,1.3,5.3
12,Kevin Love,36,PF,10,1.5,0.395,0.9,0.346,0.6,0.667,5.4,1.4,6.9
13,Dru Smith,27,SG,7,0.7,0.625,0.7,0.385,0.0,,2.9,1.4,3.6
14,Thomas Bryant,27,C,9,0.7,0.353,0.7,0.545,1.0,1.0,3.4,0.4,4.3
15,Kel'el Ware,20,C,10,0.2,0.286,0.8,0.444,0.2,1.0,1.6,0.1,2.4
16,Keshad Johnson,23,SF,2,0.0,0.0,0.5,1.0,0.0,,1.0,0.0,1.0
0,Team Totals,0,,20,1.4,0.38,2.3,0.502,1.6,0.775,4.1,2.5,10.5
