Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Damian Lillard,34,PG,18,3.5,0.377,4.5,0.533,6.4,0.921,4.4,7.5,25.9
2,Giannis Antetokounmpo,30,PF,19,0.2,0.214,12.6,0.631,6.9,0.611,11.6,6.6,32.6
3,Brook Lopez,36,C,21,2.0,0.36,2.5,0.634,1.1,0.719,5.0,1.8,11.9
4,Taurean Prince,30,SF,21,2.1,0.556,1.0,0.431,0.5,0.846,4.5,1.9,9.0
5,Gary Trent Jr.,26,SG,19,1.9,0.385,1.1,0.4,0.8,0.889,2.1,1.0,8.8
6,Bobby Portis,29,PF,20,1.1,0.344,4.2,0.5,0.9,0.75,7.1,1.5,12.5
7,A.J. Green,25,SG,20,2.5,0.462,0.3,0.667,0.3,0.833,2.2,1.0,8.2
8,Andre Jackson Jr.,23,SG,20,0.6,0.343,0.8,0.429,0.2,0.5,3.2,1.4,3.5
9,Pat Connaughton,32,SG,15,0.9,0.295,0.9,0.5,0.6,0.75,3.0,1.7,4.9
10,Delon Wright,32,PG,18,0.5,0.281,0.4,0.381,0.3,0.5,1.8,1.6,2.7
11,Ryan Rollins,22,PG,11,0.5,0.5,0.4,0.308,0.5,0.833,1.0,0.8,2.8
12,Liam Robbins,25,C,5,0.0,0.0,0.4,1.0,0.2,0.25,0.6,0.0,1.0
13,Tyler Smith,20,PF,10,0.3,0.375,0.5,1.0,0.1,0.5,0.8,0.1,2.0
14,MarJon Beauchamp,24,SF,11,0.2,0.25,0.4,0.5,0.4,1.0,0.8,0.1,1.6
15,Stanley Umude,25,SG,6,0.2,0.333,0.0,,0.0,0.0,0.5,0.2,0.5
16,AJ Johnson,20,SG,5,0.2,1.0,0.4,0.4,0.0,,0.4,0.2,1.4
17,Chris Livingston,21,SF,3,0.0,,0.3,0.5,0.0,,0.7,0.3,0.7
0,Team Totals,0,,21,1.3,0.391,2.3,0.554,1.4,0.725,3.7,2.1,9.9
