Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Anthony Edwards,23,SG,21,4.5,0.423,4.6,0.464,3.6,0.8,5.5,3.7,26.2
2,Rudy Gobert,32,C,21,0.0,,4.0,0.659,2.7,0.789,11.1,2.1,10.6
3,Julius Randle,30,PF,21,1.7,0.356,5.5,0.571,4.8,0.813,6.7,4.0,21.0
4,Jaden McDaniels,24,PF,21,1.1,0.3,2.8,0.551,0.9,0.692,3.7,1.8,9.9
5,Mike Conley,37,PG,17,1.9,0.364,0.8,0.333,1.5,0.893,2.9,4.5,8.6
6,Donte DiVincenzo,28,SG,21,2.2,0.331,0.8,0.447,0.6,0.75,3.0,3.5,8.8
7,Naz Reid,25,C,21,1.9,0.368,2.9,0.6,1.7,0.9,5.0,1.5,13.0
8,Nickeil Alexander-Walker,26,SG,21,1.7,0.438,1.7,0.59,1.0,0.778,2.8,2.6,9.4
9,Rob Dillingham,20,PG,11,0.5,0.5,1.1,0.5,0.0,,0.8,1.5,3.8
10,Josh Minott,22,SF,9,0.1,0.125,1.0,1.0,0.3,0.6,1.6,0.6,2.7
11,Daishen Nix,22,PG,2,0.0,0.0,0.0,,0.5,0.5,2.0,1.5,0.5
12,Luka Garza,26,PF,6,0.2,0.2,1.5,0.692,0.5,0.5,1.3,0.0,4.0
13,PJ Dozier,28,SG,6,0.3,0.667,0.0,,0.2,0.167,0.8,0.8,1.2
14,Terrence Shannon Jr.,24,SG,6,0.2,0.333,0.5,0.6,0.0,,0.2,0.7,1.5
15,Joe Ingles,37,SF,7,0.0,0.0,0.0,,0.0,,0.3,1.3,0.0
0,Team Totals,0,,21,1.5,0.373,2.4,0.55,1.7,0.791,4.2,2.5,11.0
