Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Brandon Ingram,27,SF,16,2.4,0.364,6.6,0.517,2.4,0.83,5.8,5.4,22.9
2,Trey Murphy III,24,SF,9,2.6,0.307,3.4,0.484,2.8,0.833,4.9,2.3,17.3
3,CJ McCollum,33,PG,9,2.9,0.342,5.3,0.533,1.7,0.625,3.8,3.1,21.0
4,Dejounte Murray,28,PG,5,1.2,0.214,3.2,0.302,3.2,0.889,6.2,6.6,13.2
5,Zion Williamson,24,PF,6,0.3,0.333,7.5,0.459,6.7,0.667,8.0,5.3,22.7
6,Brandon Boston Jr.,23,SG,19,1.3,0.312,3.1,0.488,2.0,0.864,3.9,3.7,12.0
7,Herbert Jones,26,SF,4,0.5,0.182,2.5,0.714,0.3,0.5,2.5,1.0,6.8
8,Jordan Hawkins,22,SG,11,2.0,0.333,2.3,0.417,2.5,0.903,3.8,1.3,13.1
9,Jose Alvarado,26,PG,11,2.2,0.4,1.5,0.39,1.3,0.824,2.2,4.5,10.7
10,Yves Missi,20,C,21,0.0,,3.6,0.567,1.8,0.617,7.8,1.4,9.0
11,Javonte Green,31,SG,22,0.8,0.321,1.5,0.508,1.4,0.769,3.5,0.9,6.7
12,Jeremiah Robinson-Earl,24,PF,22,0.9,0.333,2.0,0.531,1.0,0.88,5.2,1.1,7.5
13,Jaylen Nowell,25,SG,8,1.0,0.296,2.3,0.391,0.9,0.636,2.5,2.3,8.4
14,Elfrid Payton,30,PG,7,0.0,0.0,3.3,0.511,0.1,0.5,3.4,6.9,6.7
15,Jamal Cain,25,SF,13,0.7,0.36,1.2,0.6,0.7,0.643,2.8,0.7,5.1
16,Daniel Theis,32,C,17,0.2,0.222,1.2,0.526,0.5,0.8,3.4,1.2,3.5
17,Trey Jemison,25,C,13,0.0,,1.1,0.5,0.5,0.462,2.8,0.6,2.6
18,Antonio Reeves,24,SG,12,0.7,0.267,1.4,0.548,0.5,0.857,1.3,0.4,5.3
19,Karlo Matković,23,PF,5,0.0,,0.4,0.4,0.0,,2.0,0.0,0.8
0,Team Totals,0,,22,1.0,0.325,2.7,0.496,1.5,0.753,4.1,2.3,9.9
