Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Mikal Bridges,28,SF,21,2.2,0.331,4.6,0.595,0.4,0.643,3.7,3.2,16.4
2,Josh Hart,29,SG,21,1.2,0.377,4.1,0.717,1.8,0.864,8.6,5.7,13.7
3,OG Anunoby,27,PF,21,2.2,0.379,4.2,0.582,2.2,0.836,5.0,2.0,17.4
4,Jalen Brunson,28,PG,21,2.5,0.409,6.2,0.528,5.4,0.85,2.9,7.7,25.2
5,Karl-Anthony Towns,29,C,20,2.4,0.452,6.7,0.561,4.8,0.864,13.1,3.1,25.1
6,Miles McBride,24,PG,16,2.2,0.432,1.9,0.508,1.0,0.889,2.7,2.6,11.3
7,Cameron Payne,30,PG,17,1.8,0.441,1.2,0.426,0.5,0.818,1.9,3.4,8.2
8,Jericho Sims,26,C,21,0.0,,0.9,0.731,0.2,0.571,4.1,0.7,2.0
9,Ariel Hukporti,22,C,9,0.0,,0.6,0.5,0.2,0.5,1.9,0.4,1.3
10,Tyler Kolek,23,PG,14,0.6,0.429,0.4,0.4,0.3,1.0,0.9,0.8,3.1
11,Pacome Dadiet,19,SG,11,0.5,0.417,0.1,0.167,0.2,1.0,1.2,0.5,1.7
12,Matt Ryan,27,SF,7,0.4,0.25,0.1,0.333,0.0,,0.1,0.0,1.6
13,Jacob Toppin,24,SF,6,0.0,0.0,0.2,1.0,0.0,,0.5,0.3,0.3
0,Team Totals,0,,21,1.5,0.395,3.0,0.569,1.6,0.841,4.4,2.9,12.1
