Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Shai Gilgeous-Alexander,26,SG,21,2.1,0.344,8.3,0.576,6.8,0.856,5.5,6.5,29.8
2,Jalen Williams,23,SG,21,2.0,0.385,6.6,0.57,2.7,0.8,6.0,5.2,21.8
3,Isaiah Hartenstein,26,C,6,0.0,0.0,5.8,0.593,1.7,0.625,12.3,4.2,13.3
4,Luguentz Dort,25,SG,21,2.1,0.4,1.2,0.446,1.1,0.828,4.5,1.9,9.8
5,Chet Holmgren,22,C,10,1.4,0.378,4.2,0.568,3.8,0.776,8.7,2.0,16.4
6,Cason Wallace,21,SG,21,0.9,0.29,2.0,0.532,0.2,0.833,3.4,2.1,6.8
7,Isaiah Joe,25,SG,19,2.4,0.375,0.8,0.533,0.4,0.7,2.7,1.7,9.2
8,Aaron Wiggins,26,SG,21,1.5,0.41,2.3,0.495,0.6,0.8,3.8,1.6,9.7
9,Alex Caruso,30,SG,13,0.6,0.205,1.4,0.529,0.4,0.714,2.9,2.2,5.0
10,Ajay Mitchell,22,SG,21,0.6,0.414,1.5,0.485,0.5,0.769,1.5,1.5,5.2
11,Kenrich Williams,30,PF,11,0.6,0.292,1.3,0.737,0.5,1.0,2.8,0.9,5.0
12,Ousmane Dieng,21,SF,16,0.6,0.25,0.7,0.478,0.4,0.636,2.6,0.8,3.5
13,Dillon Jones,23,SF,20,0.4,0.219,0.6,0.545,0.3,0.625,2.1,0.8,2.5
14,Branden Carlson,25,C,3,0.0,0.0,0.3,0.5,0.7,1.0,2.0,0.0,1.3
15,Malevy Leons,25,SF,6,0.0,0.0,0.0,0.0,0.3,0.5,0.5,0.2,0.3
16,Adam Flagler,25,SG,10,0.5,0.278,0.0,0.0,0.0,,0.5,0.0,1.5
17,Alex Reese,25,PF,1,0.0,,1.0,1.0,0.0,,1.0,0.0,2.0
18,Alex Ducas,24,SG,4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
0,Team Totals,0,,21,1.2,0.345,2.5,0.549,1.4,0.804,3.7,2.2,9.8
