Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Paolo Banchero,22,PF,5,2.2,0.344,7.4,0.569,7.6,0.644,8.8,5.6,29.0
2,Franz Wagner,23,SF,24,2.0,0.327,6.8,0.535,4.7,0.875,5.6,5.7,24.2
3,Kentavious Caldwell-Pope,31,SG,23,1.5,0.313,1.4,0.604,1.2,0.966,2.2,1.8,8.6
4,Jalen Suggs,23,PG,23,2.1,0.314,3.1,0.518,2.7,0.925,4.0,4.0,15.3
5,Wendell Carter Jr.,25,C,11,0.4,0.167,2.4,0.722,1.8,0.714,7.6,2.3,7.6
6,Anthony Black,21,PG,24,0.7,0.271,2.3,0.509,1.8,0.729,2.8,4.1,8.3
7,Tristan Da Silva,23,SF,20,1.2,0.338,1.7,0.5,0.6,0.75,3.7,1.7,7.5
8,Goga Bitadze,25,C,19,0.0,0.0,3.4,0.73,1.3,0.774,7.0,1.7,8.1
9,Moritz Wagner,27,C,24,0.8,0.317,3.9,0.637,2.8,0.742,5.2,1.4,12.9
10,Jonathan Isaac,27,PF,21,0.8,0.293,1.6,0.6,0.9,0.679,4.7,0.2,6.5
11,Gary Harris,30,SG,17,1.0,0.37,0.4,0.5,0.2,0.667,1.4,0.4,4.1
12,Jett Howard,21,SF,22,1.0,0.323,0.4,0.529,0.1,1.0,1.3,0.4,3.8
13,Cole Anthony,24,PG,21,0.6,0.316,1.0,0.447,1.1,0.719,2.1,1.7,4.8
14,Mac McClung,26,SG,1,0.0,,0.0,,0.0,,1.0,2.0,0.0
15,Caleb Houstan,22,SF,14,0.2,0.176,0.1,0.333,0.1,1.0,0.5,0.0,0.9
16,Cory Joseph,33,PG,13,0.4,0.417,0.0,0.0,0.0,,0.7,0.7,1.2
17,Trevelin Queen,27,SG,2,0.5,1.0,0.0,0.0,0.0,,0.0,0.0,1.5
0,Team Totals,0,,24,1.0,0.312,2.3,0.564,1.6,0.79,3.6,2.1,9.1
