Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Tyrese Maxey,24,PG,14,2.9,0.305,5.9,0.488,4.4,0.861,3.2,4.8,24.9
2,Joel Embiid,30,C,4,0.8,0.167,4.8,0.475,8.0,1.0,7.5,3.5,19.8
3,Caleb Martin,29,SF,18,0.8,0.294,2.5,0.464,2.1,0.661,4.9,2.4,9.6
4,Kelly Oubre Jr.,29,SF,20,1.4,0.308,3.6,0.529,1.5,0.75,4.9,1.5,12.9
5,Paul George,34,PF,10,2.2,0.338,3.3,0.471,2.7,0.818,5.3,5.1,15.9
6,Jared McCain,20,SG,20,2.3,0.383,3.6,0.546,2.5,0.875,2.7,2.6,16.5
7,Guerschon Yabusele,29,PF,20,1.7,0.407,2.0,0.58,0.9,0.581,5.9,2.0,9.9
8,Kyle Lowry,38,PG,14,1.2,0.347,0.5,0.467,1.1,0.789,2.3,3.1,5.7
9,Andre Drummond,31,C,17,0.1,0.167,3.2,0.545,1.5,0.553,8.2,0.6,8.1
10,KJ Martin,24,PF,17,0.2,0.333,1.9,0.647,1.3,0.846,2.6,0.9,5.9
11,Eric Gordon,36,SG,16,0.6,0.238,0.9,0.429,1.1,0.773,0.9,1.3,4.8
12,Reggie Jackson,34,PG,10,1.1,0.44,0.5,0.357,0.0,,0.9,2.1,4.3
13,Ricky Council IV,23,SG,17,0.4,0.259,1.1,0.529,1.1,0.857,1.5,0.8,4.4
14,Jeff Dowtin,27,PG,8,0.1,0.125,0.6,0.455,0.4,0.75,1.0,1.1,2.0
15,Adem Bona,21,PF,14,0.0,,0.6,0.615,0.4,0.833,1.7,0.0,1.5
16,Justin Edwards,21,SG,2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,2.0
17,Lester Quiñones,24,SG,4,0.0,0.0,1.0,0.8,0.3,1.0,1.0,0.3,2.3
0,Team Totals,0,,20,1.1,0.326,2.3,0.519,1.6,0.775,3.5,1.9,9.4
