Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Devin Booker,28,SG,20,2.7,0.348,5.4,0.517,6.1,0.896,3.8,6.6,25.0
2,Kevin Durant,36,PF,13,2.7,0.449,6.5,0.582,4.6,0.8,6.7,3.1,25.8
3,Bradley Beal,31,SG,12,2.3,0.394,4.3,0.58,2.0,0.8,4.2,3.3,17.5
4,Tyus Jones,28,PG,20,2.1,0.398,2.5,0.568,0.6,0.786,2.6,7.1,11.7
5,Royce O'Neale,31,SF,20,2.2,0.41,1.3,0.439,0.6,0.706,5.9,2.1,9.6
6,Jusuf Nurkić,30,C,16,0.9,0.298,2.1,0.508,2.2,0.673,9.9,1.3,8.9
7,Grayson Allen,29,SG,16,2.1,0.343,1.1,0.545,1.9,0.811,2.7,1.3,10.5
8,Ryan Dunn,22,SF,19,1.2,0.31,1.2,0.59,0.1,0.25,2.7,0.8,6.0
9,Oso Ighodaro,22,PF,15,0.0,,2.0,0.625,0.7,0.769,4.1,0.9,4.7
10,Mason Plumlee,34,C,19,0.0,,1.8,0.574,0.9,0.563,5.6,1.6,4.6
11,Josh Okogie,26,SG,10,1.0,0.526,2.1,0.538,1.3,0.65,3.5,0.6,8.5
12,Monte Morris,29,PG,15,0.7,0.423,1.0,0.5,0.8,0.857,1.2,1.5,5.0
13,Damion Lee,32,SG,4,0.3,0.111,0.8,0.6,1.5,1.0,1.3,1.3,3.8
14,TyTy Washington Jr.,23,PG,3,0.7,0.667,0.3,0.333,0.0,,0.3,1.3,2.7
15,Jalen Bridges,23,SF,2,0.0,0.0,0.0,,0.5,0.5,0.5,0.0,0.5
16,Bol Bol,25,PF,5,0.2,0.25,0.8,0.8,0.8,0.667,1.0,0.2,3.0
17,Collin Gillespie,25,PG,1,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,3.0
0,Team Totals,0,,20,1.4,0.375,2.4,0.547,1.7,0.779,4.1,2.5,10.7
