Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Jerami Grant,30,PF,20,2.2,0.358,2.9,0.411,3.4,0.817,3.5,2.5,15.8
2,Toumani Camara,24,PF,22,1.6,0.391,1.9,0.461,0.8,0.68,5.2,2.2,9.4
3,Deandre Ayton,26,C,15,0.3,0.294,6.5,0.591,0.9,0.684,9.8,1.3,14.8
4,Shaedon Sharpe,21,SG,14,1.8,0.294,4.6,0.547,3.3,0.807,3.2,2.2,17.8
5,Anfernee Simons,25,SG,19,2.5,0.331,3.4,0.478,2.6,0.891,2.5,4.4,16.7
6,Deni Avdija,24,SF,22,1.3,0.345,2.6,0.467,2.9,0.797,6.0,3.2,12.0
7,Scoot Henderson,20,PG,16,1.0,0.32,3.3,0.457,2.1,0.75,2.9,5.4,11.7
8,Robert Williams,27,C,7,0.1,0.5,3.7,0.722,1.7,0.923,6.0,1.4,9.6
9,Donovan Clingan,20,C,17,0.2,0.333,2.2,0.552,0.9,0.727,6.7,0.3,5.8
10,Dalano Banton,25,PG,20,1.3,0.388,2.3,0.469,1.6,0.667,2.4,2.6,10.1
11,Kris Murray,24,SF,19,0.5,0.313,1.2,0.579,0.4,0.368,2.3,0.6,4.3
12,Rayan Rupert,20,SG,19,0.5,0.333,0.9,0.515,0.4,0.667,1.6,0.4,3.6
13,Jabari Walker,22,SF,17,0.1,0.133,1.1,0.487,0.5,0.889,3.1,0.6,3.1
14,Taze Moore,26,SG,2,0.5,0.25,0.5,0.167,0.5,0.5,4.0,0.5,3.0
15,Justin Minaya,25,SF,1,0.0,,0.0,,0.0,,1.0,0.0,0.0
16,Duop Reath,28,C,12,0.4,0.313,0.2,0.4,0.0,,0.7,0.2,1.6
0,Team Totals,0,,22,1.1,0.339,2.5,0.501,1.5,0.765,3.9,2.0,9.7
