Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,De'Aaron Fox,27,PG,22,2.2,0.355,7.7,0.554,5.1,0.806,5.0,6.0,27.2
2,Keegan Murray,24,PF,22,1.6,0.287,3.2,0.538,1.1,0.828,7.7,1.6,12.2
3,Domantas Sabonis,28,C,20,1.1,0.412,7.0,0.676,3.9,0.802,12.6,6.3,21.0
4,DeMar DeRozan,35,SF,17,0.6,0.27,7.9,0.536,5.0,0.825,4.2,4.4,22.5
5,Malik Monk,26,SG,15,2.3,0.386,3.3,0.551,2.1,0.821,3.4,4.5,15.5
6,Kevin Huerter,26,SG,19,1.6,0.287,1.8,0.66,0.5,0.667,3.3,2.1,9.1
7,Keon Ellis,25,SG,20,1.5,0.441,0.8,0.571,1.0,0.8,2.1,1.0,7.1
8,Trey Lyles,29,PF,18,1.2,0.333,0.6,0.44,0.6,0.714,3.9,0.9,5.4
9,Jae Crowder,34,SF,4,0.8,0.3,0.8,1.0,1.3,0.833,3.0,0.8,5.0
10,Isaac Jones,24,PF,12,0.0,0.0,2.0,0.75,0.6,0.538,1.7,0.2,4.6
11,Jordan McLaughlin,28,PG,17,0.4,0.316,0.4,0.429,0.6,0.714,1.0,0.9,2.4
12,Doug McDermott,33,SF,17,0.7,0.308,0.2,0.375,0.2,0.6,0.8,0.2,2.6
13,Alex Len,31,C,16,0.0,0.0,0.7,0.688,0.1,0.5,2.0,0.7,1.5
14,Orlando Robinson,24,C,3,0.3,1.0,0.3,1.0,0.7,0.5,2.0,0.3,2.3
15,Mason Jones,26,SG,3,0.0,0.0,0.0,,0.0,,1.3,2.3,0.0
16,Colby Jones,22,SG,13,0.2,0.4,0.2,0.333,0.0,,0.7,0.2,0.9
0,Team Totals,0,,22,1.1,0.337,2.8,0.577,1.7,0.789,4.0,2.3,10.6
