Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Victor Wembanyama,21,C,18,3.1,0.337,5.6,0.617,3.1,0.859,10.4,3.8,23.5
2,Julian Champagnie,23,SF,21,2.4,0.347,1.7,0.648,1.3,0.903,5.3,1.6,11.8
3,Harrison Barnes,32,PF,21,1.4,0.441,2.2,0.534,2.3,0.803,4.7,1.6,11.1
4,Chris Paul,39,PG,21,1.9,0.358,1.6,0.576,1.5,1.0,3.7,8.2,10.3
5,Jeremy Sochan,21,PF,8,0.4,0.231,5.8,0.554,2.6,0.636,8.3,2.9,15.3
6,Stephon Castle,20,PG,21,1.2,0.281,2.9,0.458,2.2,0.723,2.5,3.7,11.5
7,Keldon Johnson,25,SF,20,1.2,0.3,3.2,0.529,2.1,0.759,5.6,1.7,12.1
8,Devin Vassell,24,SG,7,3.0,0.488,3.4,0.571,2.0,1.0,1.4,2.7,17.9
9,Tre Jones,25,PG,8,0.4,0.25,0.9,0.389,1.3,0.714,2.4,3.3,4.1
10,Zach Collins,27,C,21,0.5,0.324,1.6,0.541,1.3,0.903,3.4,1.8,6.0
11,Malaki Branham,21,SG,16,1.0,0.421,1.6,0.49,1.1,0.85,1.8,1.3,7.2
12,Blake Wesley,21,SG,17,0.2,0.2,1.5,0.543,0.7,0.706,0.9,1.6,4.4
13,Sandro Mamukelashvili,25,PF,15,0.9,0.452,0.8,0.8,0.5,1.0,2.9,0.3,4.9
14,Charles Bassey,24,C,12,0.0,,1.3,0.536,0.4,0.625,3.0,0.4,2.9
15,David Duke Jr.,25,SG,1,0.0,0.0,1.0,0.333,1.0,0.5,0.0,2.0,3.0
16,Riley Minix,24,SF,1,0.0,0.0,0.0,,0.0,,2.0,0.0,0.0
17,Harrison Ingram,22,SF,1,0.0,,0.0,0.0,0.0,,1.0,0.0,0.0
18,Sidy Cissoko,20,SF,8,0.1,0.5,0.1,0.333,0.0,0.0,0.8,0.6,0.6
0,Team Totals,0,,21,1.3,0.349,2.2,0.548,1.5,0.806,4.0,2.5,9.8
