Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,RJ Barrett,24,SG,19,2.1,0.355,6.6,0.51,4.5,0.699,6.5,6.2,23.9
2,Scottie Barnes,23,PF,11,1.6,0.29,6.4,0.551,4.4,0.716,8.5,7.2,22.0
3,Gradey Dick,21,SG,17,2.4,0.342,3.7,0.485,3.6,0.912,3.1,2.2,18.1
4,Jakob Poeltl,29,C,22,0.0,0.0,6.9,0.597,2.3,0.649,11.8,2.5,16.0
5,Ochai Agbaji,24,SG,22,2.0,0.489,2.8,0.581,0.6,0.7,4.5,2.1,12.0
6,Davion Mitchell,26,PG,22,0.9,0.278,1.8,0.5,0.8,0.654,2.2,5.2,7.1
7,Immanuel Quickley,25,PG,3,2.0,0.375,3.3,0.385,2.7,0.889,2.0,4.0,15.3
8,Chris Boucher,32,PF,22,1.1,0.286,2.5,0.651,1.6,0.745,4.4,0.6,10.0
9,Ja'Kobe Walter,20,SG,8,0.6,0.2,1.6,0.448,0.4,0.5,3.6,1.3,5.5
10,Jonathan Mogbo,23,PF,22,0.2,0.267,1.6,0.529,1.2,0.722,4.3,1.7,5.0
11,Jamal Shead,22,PG,22,0.6,0.325,1.3,0.438,0.4,0.75,0.9,2.9,4.7
12,Jamison Battle,23,SF,21,1.4,0.414,0.7,0.625,0.4,0.818,2.0,0.9,6.0
13,Bruno Fernando,26,C,14,0.0,,1.6,0.511,0.4,0.75,3.1,1.2,3.7
14,D.J. Carton,24,SG,4,0.0,0.0,0.3,0.25,0.3,1.0,1.0,0.8,0.8
15,Ulrich Chomche,19,PF,1,0.0,,1.0,1.0,0.0,,1.0,0.0,2.0
16,Garrett Temple,38,SG,7,0.1,0.5,0.1,0.333,0.0,,0.6,0.7,0.7
0,Team Totals,0,,22,1.0,0.343,2.9,0.538,1.6,0.732,4.3,2.7,10.5
