Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Lauri Markkanen,27,PF,17,2.6,0.385,3.4,0.523,4.5,0.854,6.5,2.2,19.2
2,Keyonte George,21,PG,20,2.6,0.329,2.7,0.453,2.3,0.793,3.1,5.7,15.4
3,John Collins,27,PF,20,1.2,0.4,5.6,0.575,3.1,0.912,8.7,2.5,17.8
4,Walker Kessler,23,C,15,0.0,,4.7,0.737,1.6,0.585,10.5,1.3,10.9
5,Collin Sexton,26,SG,21,1.8,0.427,4.0,0.512,3.4,0.888,2.6,3.2,16.9
6,Jordan Clarkson,32,SG,13,1.7,0.275,3.5,0.489,2.8,0.804,3.8,3.8,15.0
7,Taylor Hendricks,21,PF,3,1.0,0.25,0.3,0.167,1.0,0.75,5.0,0.7,4.7
8,Micah Potter,26,C,3,1.7,0.5,0.0,0.0,0.0,,7.0,1.0,5.0
9,Kyle Filipowski,21,C,14,0.6,0.3,2.1,0.652,1.1,0.517,4.7,2.1,7.3
10,Cody Williams,20,SG,16,0.4,0.189,0.7,0.367,0.4,0.6,2.3,1.2,3.1
11,Isaiah Collier,20,PG,14,0.2,0.136,1.0,0.452,0.5,0.438,1.6,3.1,3.1
12,Brice Sensabaugh,21,SF,15,1.7,0.417,1.1,0.485,0.7,0.917,2.3,0.7,7.9
13,Johnny Juzang,23,SG,17,1.3,0.338,0.7,0.48,0.6,0.846,2.2,1.2,5.9
14,Oscar Tshiebwe,25,PF,1,0.0,,0.0,,3.0,0.75,9.0,0.0,3.0
15,Patty Mills,36,PG,9,0.8,0.292,0.4,0.571,0.3,1.0,0.9,1.4,3.6
16,Drew Eubanks,27,C,18,0.1,0.333,1.6,0.569,0.7,0.571,3.9,1.2,4.1
17,Svi Mykhailiuk,27,SF,4,1.0,0.308,0.3,0.5,0.8,0.75,0.3,1.0,4.3
0,Team Totals,0,,21,1.2,0.342,2.5,0.536,1.8,0.783,4.2,2.3,10.3
