Rang,Joueur,Âge,Poste,Matchs,3 points,3 points %,2 points,2 points %,Lancer franc,Lancer franc %,Rebonds,Passes décisives,Points
1,Bilal Coulibaly,20,SF,18,0.9,0.304,3.5,0.548,2.4,0.759,5.4,2.9,12.3
2,Jordan Poole,25,SG,17,3.1,0.416,3.8,0.471,3.8,0.867,2.2,4.8,20.5
3,Carlton Carrington,19,PG,19,1.4,0.351,1.8,0.455,1.1,0.8,4.1,4.3,9.0
4,Corey Kispert,25,SF,19,1.8,0.313,2.2,0.569,1.1,0.833,3.4,1.5,10.9
5,Kyle Kuzma,29,PF,12,1.3,0.276,5.0,0.488,1.8,0.688,5.6,1.9,15.8
6,Alex Sarr,19,C,19,1.1,0.244,2.8,0.478,1.5,0.659,6.2,2.1,10.5
7,Kyshawn George,21,SG,19,1.3,0.247,1.4,0.5,1.0,0.731,4.1,2.6,7.5
8,Malcolm Brogdon,32,PG,8,0.6,0.294,4.4,0.574,2.9,0.885,4.3,2.6,13.5
9,Jonas Valančiūnas,32,C,19,0.1,0.25,4.7,0.597,2.4,0.918,7.7,2.1,12.1
10,Jared Butler,24,SG,14,0.1,0.125,1.7,0.545,1.1,0.714,0.6,2.1,4.7
11,Johnny Davis,22,SG,14,0.2,0.375,0.9,0.5,0.2,0.6,1.3,0.2,2.6
12,Richaun Holmes,31,PF,3,0.0,0.0,1.7,0.556,0.7,1.0,1.7,0.0,4.0
13,Anthony Gill,32,PF,14,0.2,0.429,0.6,0.692,0.5,0.5,1.0,0.4,2.4
14,Marvin Bagley III,25,C,13,0.0,0.0,1.3,0.586,0.6,0.727,2.1,0.2,3.2
15,Patrick Baldwin Jr.,22,SF,11,0.5,0.455,0.4,0.5,0.2,0.5,1.1,0.1,2.3
16,Justin Champagnie,23,SF,2,0.0,,0.0,,0.0,,1.0,0.5,0.0
0,Team Totals,0,,19,1.0,0.312,2.4,0.525,1.5,0.779,3.7,2.1,9.2
